NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	129.959	73.236	23.335	48.556	0.623	0.795	50000.0
2	127.37	73.283	22.568	48.426	0.627	0.795	110000.0
3	127.067	72.903	22.464	48.233	0.623	0.798	60000.0
4	128.484	72.915	22.829	48.309	0.625	0.797	40000.0
5	125.852	70.838	22.718	46.487	0.625	0.812	80000.0
6	129.381	72.585	23.168	48.211	0.616	0.799	60000.0
7	126.85	72.738	22.303	48.318	0.63	0.795	50000.0
8	126.391	72.924	22.161	48.112	0.63	0.797	40000.0
9	128.623	73.005	23.315	48.205	0.624	0.798	70000.0
10	131.225	73.419	24.178	48.597	0.621	0.795	60000.0
