NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.404	40.351	0.063	30.508	0.282	0.908	105000.0
2	0.404	40.363	0.063	30.516	0.264	0.908	15000.0
3	0.404	40.353	0.063	30.512	0.267	0.908	15000.0
4	0.447	44.692	0.07	34.028	2.369	0.884	15000.0
5	0.403	40.349	0.063	30.505	0.282	0.908	105000.0
6	0.399	39.933	0.063	30.319	0.265	0.909	20000.0
7	0.404	40.359	0.063	30.514	0.265	0.908	15000.0
8	0.399	39.888	0.063	30.335	0.273	0.909	15000.0
9	0.404	40.362	0.063	30.518	0.256	0.908	15000.0
10	0.399	39.931	0.063	30.32	0.276	0.909	50000.0
