NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.64	63.974	0.104	47.717	0.517	0.797	40000.0
2	0.64	63.974	0.104	47.717	0.501	0.797	15000.0
3	0.64	63.973	0.104	47.717	0.507	0.797	20000.0
4	0.649	64.912	0.105	48.336	0.56	0.79	15000.0
5	0.64	63.974	0.104	47.717	0.501	0.797	15000.0
6	0.64	63.974	0.104	47.717	0.521	0.797	55000.0
7	0.64	63.974	0.104	47.717	0.514	0.797	35000.0
8	0.64	63.974	0.104	47.717	0.5	0.797	15000.0
9	0.64	63.974	0.104	47.717	0.522	0.797	70000.0
10	0.64	63.974	0.104	47.717	0.513	0.797	30000.0
