NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.665	66.471	0.109	50.162	0.534	0.773	15000.0
2	0.665	66.506	0.109	50.177	0.53	0.773	15000.0
3	0.67	66.954	0.109	50.384	0.525	0.771	15000.0
4	0.664	66.369	0.108	50.096	0.519	0.773	15000.0
5	0.663	66.344	0.108	50.102	0.547	0.773	15000.0
6	0.664	66.429	0.109	50.128	0.524	0.773	15000.0
7	0.664	66.363	0.108	50.08	0.521	0.774	15000.0
8	0.67	67.019	0.109	50.418	0.528	0.771	15000.0
9	0.664	66.365	0.108	50.104	0.527	0.773	15000.0
10	0.67	67.017	0.109	50.41	0.523	0.771	15000.0
