NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.669	66.945	0.109	50.054	0.489	0.774	15000.0
2	0.669	66.9	0.109	50.0	0.529	0.775	15000.0
3	0.674	67.448	0.109	50.276	0.496	0.773	15000.0
4	0.676	67.584	0.11	50.346	0.493	0.772	15000.0
5	0.669	66.934	0.109	50.037	0.49	0.774	15000.0
6	0.676	67.647	0.11	50.385	0.492	0.772	15000.0
7	0.677	67.667	0.11	50.4	0.493	0.772	15000.0
8	0.671	67.144	0.109	50.127	0.49	0.774	15000.0
9	0.676	67.595	0.11	50.354	0.494	0.772	15000.0
10	0.672	67.229	0.109	50.17	0.495	0.773	15000.0
