Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
EXO1_0_real_train1	5.12E-03	2.71E-03	1.03E-03	1.67E-03	1.82E-77	7.90E-03	1.98E-03	4.08E-03
OGG1_0_real_train1	2.92E-143	2.58E-17	1.15E-03	3.33E-03	2.96E-03	2.87E-03	3.97E-03	5.68E-03
RNF168_0_real_train1	6.75E-03	9.34E-03	8.47E-04	3.66E-03	2.50E-03	1.49E-02	0.00E+00	1.02E-03
UNG_0_real_train1	3.56E-05	4.72E-03	8.53E-112	8.84E-03	2.43E-03	7.83E-03	1.41E-77	1.88E-03
ATP2B4_0_real_train1	1.13E-02	3.05E-02	4.66E-03	1.12E-02	1.23E-03	1.64E-02	4.40E-02	1.24E-02
ATP2B4_1_real_train1	4.25E-154	4.63E-02	3.76E-03	1.07E-143	5.75E-03	4.54E-03	5.12E-02	1.48E-02
MLH1_0_real_train1	1.63E-26	0.00E+00	5.68E-02	1.61E-02	0.00E+00	6.51E-02	6.08E-03	1.02E-02
MSH2_0_real_train1	3.65E-34	3.89E-03	5.33E-02	2.28E-02	1.57E-17	6.19E-02	7.50E-06	1.55E-02
MSH6_0_real_train1	0.00E+00	4.24E-15	6.19E-02	9.30E-03	1.04E-03	6.88E-02	5.24E-03	1.10E-02
MSH6_1_real_train1	0.00E+00	7.44E-04	6.19E-02	1.07E-02	4.20E-03	7.14E-02	4.02E-03	2.79E-03
PMS1_0_real_train1	0.00E+00	2.87E-02	2.42E-02	1.78E-02	9.41E-03	6.23E-02	8.62E-03	8.72E-02
PMS2_0_real_train1	2.85E-02	1.40E-120	8.62E-02	0.00E+00	5.03E-03	1.20E-01	0.00E+00	2.09E-02
EXO1_0_multinomial_train1	5.00E-03	5.92E-04	6.20E-04	3.20E-03	7.95E-04	7.59E-03	4.49E-03	6.53E-03
RNF168_0_multinomial_train1	4.51E-03	3.41E-03	0.00E+00	2.00E-20	1.67E-03	9.33E-03	6.19E-03	6.11E-03
RNF168_0_multinomial_train1.1	9.78E-03	1.61E-02	0.00E+00	0.00E+00	4.61E-03	2.60E-02	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.1	5.14E-03	1.33E-03	1.76E-03	7.68E-05	2.26E-03	8.48E-03	4.94E-03	4.65E-03
RNF168_0_multinomial_train1.2	7.76E-03	9.81E-03	9.46E-04	0.00E+00	3.51E-03	1.84E-02	0.00E+00	2.36E-91
RNF168_0_multinomial_train1.3	3.35E-03	3.68E-03	6.13E-03	8.69E-03	1.47E-03	5.65E-03	8.36E-05	1.48E-03
RNF168_0_multinomial_train1.4	6.57E-03	8.12E-03	2.40E-03	3.05E-35	3.66E-03	1.78E-02	4.34E-04	0.00E+00
RNF168_0_multinomial_train1.5	6.72E-03	1.13E-02	0.00E+00	5.90E-03	0.00E+00	1.62E-02	0.00E+00	8.10E-21
RNF168_0_multinomial_train1.6	7.53E-03	8.31E-03	0.00E+00	5.31E-03	2.10E-03	1.68E-02	4.17E-160	4.80E-91
RNF168_0_multinomial_train1.7	8.52E-03	1.14E-02	1.63E-03	7.67E-03	1.60E-03	1.94E-02	0.00E+00	4.12E-03
RNF168_0_multinomial_train1.8	5.76E-03	7.27E-03	0.00E+00	0.00E+00	2.47E-03	8.08E-03	1.30E-14	3.00E-124
EXO1_0_multinomial_train1.2	4.68E-03	4.19E-03	5.25E-04	2.55E-03	0.00E+00	6.57E-03	2.97E-06	2.02E-03
EXO1_0_multinomial_train1.3	7.60E-03	1.56E-56	1.39E-03	0.00E+00	1.67E-03	9.10E-03	5.07E-03	8.29E-03
RNF168_0_multinomial_train1.9	5.61E-03	4.36E-03	0.00E+00	8.97E-28	1.77E-03	1.19E-02	1.65E-03	5.39E-03
EXO1_0_multinomial_train1.4	5.30E-03	3.10E-03	8.31E-04	2.32E-03	0.00E+00	8.62E-03	1.66E-03	3.50E-03
EXO1_0_multinomial_train1.5	4.86E-03	1.42E-03	6.40E-04	2.01E-03	0.00E+00	8.03E-03	3.69E-03	5.59E-03
EXO1_0_multinomial_train1.6	6.48E-03	3.10E-03	1.02E-03	3.59E-03	0.00E+00	1.13E-02	2.62E-03	3.38E-03
EXO1_0_multinomial_train1.7	4.66E-03	1.46E-03	1.16E-03	3.43E-03	2.49E-83	8.25E-03	2.22E-03	5.15E-03
EXO1_0_multinomial_train1.8	4.49E-03	3.92E-03	1.77E-03	1.70E-03	0.00E+00	9.23E-03	2.94E-04	3.82E-03
RNF168_0_multinomial_train1.10	4.24E-03	2.87E-03	1.04E-03	3.14E-03	1.49E-03	7.85E-03	8.11E-80	4.54E-03
