run,seed,accuracy,f1_score,recall,best_C
1,367446,0.89425,0.8938991578850466,0.8942500000000001,0.025118864315095794
2,58723,0.895,0.8946529422466146,0.895,0.01
3,667049,0.8945,0.8941503611224325,0.8945000000000001,0.025118864315095794
4,437559,0.8945,0.8941348364430532,0.8945000000000001,0.025118864315095794
5,584883,0.895,0.8946529422466146,0.895,0.01
6,178982,0.8945,0.8940970595448701,0.8945,0.025118864315095794
7,976400,0.89525,0.8949016961924643,0.89525,0.01
8,670510,0.895,0.8946529422466146,0.895,0.01
9,236783,0.89475,0.8943834805634763,0.89475,0.025118864315095794
10,848830,0.895,0.8946529422466146,0.895,0.01
