NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.404	40.357	0.063	30.509	0.262	0.908	15000.0
2	0.404	40.355	0.063	30.51	0.256	0.908	15000.0
3	0.4	39.957	0.063	30.339	0.267	0.909	15000.0
4	0.399	39.944	0.063	30.336	0.266	0.909	15000.0
5	0.399	39.934	0.063	30.328	0.248	0.909	15000.0
6	0.404	40.351	0.063	30.508	0.278	0.908	60000.0
7	0.403	40.344	0.063	30.515	0.264	0.908	15000.0
8	0.404	40.357	0.063	30.51	0.266	0.908	15000.0
9	0.399	39.93	0.063	30.318	0.278	0.909	70000.0
10	0.404	40.351	0.063	30.507	0.279	0.908	60000.0
