NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.091	66.324	0.052	99.557	0.292	0.64	30000.0
2	0.093	66.558	0.053	99.668	0.322	0.627	20000.0
3	0.095	66.717	0.054	99.808	0.328	0.624	20000.0
4	0.086	46.712	0.05	99.365	0.211	0.656	30000.0
5	0.089	56.614	0.052	99.596	0.262	0.643	60000.0
6	0.095	57.138	0.055	99.894	0.233	0.617	20000.0
7	0.093	56.929	0.053	99.656	0.257	0.624	40000.0
8	0.094	76.193	0.054	194.201	0.447	0.635	20000.0
9	0.09	56.717	0.052	99.61	0.269	0.64	20000.0
10	0.087	46.819	0.051	99.463	0.225	0.652	20000.0
