NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.917	91.74	0.188	102.981	0.468	0.762	15000.0
2	0.936	93.604	0.202	109.204	0.432	0.752	15000.0
3	0.847	84.748	0.146	73.74	74.914	0.751	105000.0
4	1.436	143.619	0.28	147.083	64.583	0.733	85000.0
5	0.94	93.967	0.207	113.661	0.427	0.766	20000.0
6	0.65	64.951	0.104	50.264	0.648	0.787	15000.0
7	0.687	68.662	0.113	54.684	3.008	0.776	15000.0
8	0.731	73.082	0.124	58.238	0.424	0.746	15000.0
9	0.913	91.314	0.2	106.636	0.493	0.754	15000.0
10	0.958	95.845	0.175	85.164	205.385	0.783	105000.0
