Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
EXO1_0_real_train1	2.57E-03	0.00E+00	2.96E-03	8.02E-04	3.03E-03	4.98E-60
OGG1_0_real_train1	0.00E+00	1.45E-03	4.40E-03	5.38E-03	4.79E-02	4.54E-02
RNF168_0_real_train1	3.32E-03	2.77E-89	3.91E-03	3.73E-03	9.01E-03	1.61E-03
UNG_0_real_train1	2.36E-04	8.46E-03	2.39E-03	4.07E-03	4.91E-03	4.28E-03
ATP2B4_0_real_train1	8.43E-03	9.11E-03	1.11E-02	7.36E-02	8.23E-02	1.28E-29
ATP2B4_1_real_train1	0.00E+00	5.62E-03	0.00E+00	8.19E-02	8.83E-02	3.89E-03
MLH1_0_real_train1	0.00E+00	6.97E-02	1.92E-02	2.94E-03	7.40E-02	5.34E-29
MSH2_0_real_train1	0.00E+00	6.63E-02	1.52E-02	3.07E-102	7.21E-02	3.51E-07
MSH6_0_real_train1	0.00E+00	6.22E-02	1.16E-02	2.32E-03	6.64E-02	1.25E-03
MSH6_1_real_train1	0.00E+00	6.00E-02	1.13E-02	4.52E-03	6.71E-02	3.56E-03
PMS1_0_real_train1	0.00E+00	7.35E-02	8.48E-04	3.90E-02	7.75E-02	2.16E-02
PMS2_0_real_train1	1.98E-02	8.73E-03	0.00E+00	8.08E-03	1.74E-02	1.73E-03
EXO1_0_multinomial_train1	2.38E-03	4.81E-04	2.70E-03	3.74E-03	3.16E-04	9.49E-04
RNF168_0_multinomial_train1	3.25E-03	0.00E+00	9.19E-04	1.23E-02	1.11E-02	2.83E-03
RNF168_0_multinomial_train1.1	5.59E-03	3.41E-09	0.00E+00	1.59E-02	1.74E-02	3.85E-03
EXO1_0_multinomial_train1.1	1.63E-03	3.30E-03	2.38E-03	1.43E-03	4.04E-03	8.80E-04
RNF168_0_multinomial_train1.2	4.32E-03	4.62E-13	0.00E+00	1.23E-02	1.25E-02	3.55E-03
RNF168_0_multinomial_train1.3	2.48E-03	0.00E+00	3.14E-03	6.16E-03	6.46E-03	2.20E-03
RNF168_0_multinomial_train1.4	3.48E-03	2.12E-05	2.28E-03	1.32E-02	1.20E-02	4.59E-03
RNF168_0_multinomial_train1.5	4.25E-03	0.00E+00	8.15E-03	4.12E-05	1.13E-02	0.00E+00
RNF168_0_multinomial_train1.6	3.72E-03	0.00E+00	4.34E-03	1.04E-92	9.30E-03	3.15E-03
RNF168_0_multinomial_train1.7	3.17E-03	9.81E-04	5.19E-03	0.00E+00	7.80E-03	9.03E-04
RNF168_0_multinomial_train1.8	4.39E-03	2.27E-03	0.00E+00	8.88E-55	9.58E-03	5.12E-03
EXO1_0_multinomial_train1.2	3.04E-03	0.00E+00	4.58E-03	0.00E+00	5.34E-03	0.00E+00
EXO1_0_multinomial_train1.3	2.01E-03	1.31E-03	0.00E+00	4.17E-03	1.20E-03	1.48E-03
RNF168_0_multinomial_train1.9	2.79E-03	0.00E+00	1.60E-03	6.66E-03	6.78E-03	2.63E-03
EXO1_0_multinomial_train1.4	2.64E-03	0.00E+00	3.66E-03	4.31E-05	4.14E-03	2.33E-158
EXO1_0_multinomial_train1.5	2.42E-03	3.62E-36	2.68E-03	1.66E-03	2.07E-03	1.02E-04
EXO1_0_multinomial_train1.6	2.83E-03	0.00E+00	3.76E-03	2.21E-19	4.16E-03	1.21E-152
EXO1_0_multinomial_train1.7	1.49E-03	1.21E-03	2.62E-03	8.61E-04	1.18E-03	2.67E-112
EXO1_0_multinomial_train1.8	2.27E-03	0.00E+00	4.28E-03	8.43E-110	4.27E-03	2.31E-46
RNF168_0_multinomial_train1.10	1.78E-03	0.00E+00	1.95E-03	1.50E-15	4.90E-03	4.78E-03
EXO1_0_multinomial_train1.9	1.93E-03	1.21E-03	0.00E+00	0.00E+00	2.74E-03	0.00E+00
RNF168_0_multinomial_train1.11	3.70E-03	0.00E+00	3.84E-03	1.46E-04	6.91E-03	0.00E+00
RNF168_0_multinomial_train1.12	4.52E-03	1.62E-03	2.60E-03	8.54E-03	1.10E-02	2.03E-03
