NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.641	64.128	0.104	47.93	0.595	0.792	105000.0
2	0.641	64.128	0.104	47.93	0.537	0.792	15000.0
3	0.641	64.128	0.104	47.931	0.541	0.793	15000.0
4	0.641	64.128	0.104	47.93	0.538	0.792	15000.0
5	0.641	64.128	0.104	47.93	0.538	0.792	15000.0
6	0.641	64.128	0.104	47.93	0.539	0.792	15000.0
7	0.641	64.129	0.104	47.93	0.537	0.793	15000.0
8	0.641	64.128	0.104	47.93	0.538	0.793	15000.0
9	0.641	64.13	0.104	47.931	0.548	0.792	15000.0
10	0.641	64.131	0.104	47.933	0.546	0.792	15000.0
