NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.399	39.943	0.063	30.33	0.264	0.909	15000.0
2	0.404	40.353	0.063	30.507	0.276	0.908	50000.0
3	0.404	40.352	0.063	30.509	0.281	0.908	65000.0
4	0.404	40.351	0.063	30.507	0.283	0.908	105000.0
5	0.404	40.361	0.063	30.516	0.252	0.908	15000.0
6	0.399	39.944	0.063	30.334	0.244	0.909	15000.0
7	0.399	39.939	0.063	30.322	0.276	0.909	55000.0
8	0.399	39.946	0.063	30.329	0.251	0.909	15000.0
9	0.403	40.347	0.063	30.506	0.279	0.908	50000.0
10	0.404	40.351	0.063	30.507	0.282	0.908	105000.0
