NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.668	66.802	0.109	49.907	0.535	0.779	20000.0
2	0.668	66.814	0.109	49.912	0.553	0.779	50000.0
3	0.667	66.74	0.109	49.869	0.508	0.779	15000.0
4	0.667	66.73	0.109	49.865	0.549	0.779	40000.0
5	0.667	66.688	0.109	49.828	0.51	0.78	15000.0
6	0.667	66.681	0.109	49.837	0.512	0.78	20000.0
7	0.66	65.963	0.108	49.508	0.536	0.782	35000.0
8	0.66	65.962	0.108	49.505	0.551	0.782	40000.0
9	0.668	66.771	0.109	49.898	0.556	0.779	30000.0
10	0.668	66.795	0.109	49.912	0.558	0.779	30000.0
