NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	168.096	82.07	34.312	54.762	0.721	0.738	40000.0
2	168.423	82.217	34.463	54.945	0.721	0.737	30000.0
3	168.181	81.661	34.301	54.529	0.714	0.741	40000.0
4	167.89	81.982	34.26	54.642	0.717	0.74	20000.0
5	167.81	81.96	34.228	54.716	0.722	0.739	60000.0
6	168.28	81.658	34.364	54.527	0.716	0.742	60000.0
7	167.959	82.091	34.17	54.829	0.725	0.737	50000.0
8	168.853	81.892	34.36	54.571	0.722	0.739	50000.0
9	173.069	80.764	35.205	53.619	0.695	0.752	30000.0
10	168.627	81.832	34.426	54.606	0.719	0.74	60000.0
