NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.646	64.63	0.105	48.048	0.56	0.793	15000.0
2	0.646	64.63	0.105	48.047	0.57	0.793	15000.0
3	0.646	64.629	0.105	48.046	0.56	0.793	15000.0
4	0.646	64.63	0.105	48.047	0.561	0.793	15000.0
5	0.646	64.63	0.105	48.047	0.56	0.793	15000.0
6	0.646	64.63	0.105	48.047	0.563	0.793	15000.0
7	0.646	64.631	0.105	48.048	0.631	0.793	60000.0
8	0.646	64.63	0.105	48.047	0.573	0.793	20000.0
9	0.646	64.63	0.105	48.047	0.559	0.793	15000.0
10	0.646	64.63	0.105	48.045	0.561	0.793	15000.0
