NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	109.557	65.66	18.697	44.097	0.567	0.83	70000.0
2	111.975	66.505	19.522	44.651	0.558	0.827	90000.0
3	113.428	66.916	20.089	45.415	0.559	0.823	120000.0
4	113.239	67.148	19.679	45.202	0.562	0.823	60000.0
5	114.131	67.609	19.873	45.291	0.565	0.822	70000.0
6	110.344	63.234	19.768	42.124	0.553	0.845	110000.0
7	107.618	63.046	18.559	42.393	0.56	0.842	80000.0
8	110.135	64.389	19.077	42.925	0.56	0.839	70000.0
9	110.432	66.273	19.254	45.017	0.561	0.824	50000.0
10	111.008	65.681	19.158	44.167	0.554	0.831	80000.0
