NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.399	39.944	0.063	30.332	0.264	0.909	15000.0
2	0.446	44.63	0.07	34.014	2.378	0.884	15000.0
3	0.404	40.351	0.063	30.508	0.282	0.908	105000.0
4	0.404	40.366	0.063	30.53	0.265	0.908	15000.0
5	0.404	40.351	0.063	30.507	0.283	0.908	105000.0
6	0.403	40.341	0.063	30.508	0.251	0.908	15000.0
7	0.404	40.365	0.063	30.514	0.262	0.908	15000.0
8	0.447	44.68	0.069	34.003	2.349	0.884	15000.0
9	0.403	40.346	0.063	30.505	0.277	0.908	55000.0
10	0.404	40.356	0.063	30.517	0.258	0.908	15000.0
