NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.369	36.911	0.056	27.279	0.192	0.929	15000.0
2	0.375	37.513	0.057	28.18	0.217	0.92	15000.0
3	0.371	37.054	0.057	27.482	0.202	0.928	60000.0
4	0.374	37.364	0.058	28.209	0.187	0.92	105000.0
5	0.374	37.363	0.058	28.212	0.187	0.92	25000.0
6	0.374	37.361	0.058	28.209	1.021	0.92	105000.0
7	0.374	37.362	0.058	28.211	0.187	0.92	30000.0
8	0.374	37.361	0.058	28.208	0.187	0.92	75000.0
9	0.374	37.39	0.058	28.221	1.023	0.92	105000.0
10	0.374	37.361	0.058	28.208	0.187	0.92	90000.0
