NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.072	45.318	0.042	98.622	0.184	0.716	30000.0
2	0.081	46.202	0.047	99.118	0.217	0.673	20000.0
3	0.079	46.022	0.047	99.117	0.231	0.688	20000.0
4	0.077	26.684	0.047	99.075	0.134	0.692	20000.0
5	0.067	54.4	0.038	98.205	0.256	0.732	30000.0
6	0.083	46.476	0.05	99.41	0.234	0.671	20000.0
7	0.086	27.596	0.053	99.687	0.139	0.648	40000.0
8	0.076	17.095	0.048	99.15	0.101	0.682	30000.0
9	0.067	35.301	0.04	98.381	0.165	0.731	20000.0
10	0.072	64.456	0.041	98.531	0.277	0.718	40000.0
