NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.669	66.888	0.108	50.152	0.469	0.773	15000.0
2	0.669	66.873	0.108	50.142	0.472	0.774	25000.0
3	0.669	66.862	0.108	50.143	0.472	0.773	15000.0
4	0.663	66.26	0.107	49.846	0.473	0.775	15000.0
5	0.663	66.281	0.107	49.857	0.473	0.775	30000.0
6	0.669	66.887	0.108	50.148	0.475	0.773	40000.0
7	0.669	66.895	0.108	50.159	0.469	0.773	15000.0
8	0.669	66.889	0.108	50.155	0.474	0.773	20000.0
9	0.669	66.904	0.108	50.158	0.473	0.773	15000.0
10	0.663	66.336	0.108	49.891	0.476	0.775	15000.0
