NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.12	78.763	0.064	100.78	0.474	0.474	20000.0
2	0.121	78.868	0.064	100.792	0.47	0.456	40000.0
3	0.125	88.822	0.066	100.962	0.498	0.449	20000.0
4	0.119	78.651	0.064	195.195	0.496	0.488	30000.0
5	0.118	78.512	0.063	100.706	0.426	0.494	20000.0
6	0.126	88.867	0.066	101.007	0.549	0.445	20000.0
7	0.122	78.918	0.064	100.836	0.455	0.463	20000.0
8	0.122	88.503	0.064	100.828	0.507	0.469	30000.0
9	0.118	88.147	0.063	100.708	0.496	0.492	20000.0
10	0.117	87.984	0.062	100.576	0.508	0.508	20000.0
