NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.666	66.633	0.109	49.819	0.504	0.78	35000.0
2	0.665	66.509	0.109	49.747	0.538	0.78	20000.0
3	0.667	66.677	0.109	49.842	0.502	0.78	15000.0
4	0.668	66.778	0.109	49.9	0.516	0.779	15000.0
5	0.667	66.725	0.109	49.87	0.511	0.779	15000.0
6	0.66	65.969	0.108	49.514	0.553	0.782	30000.0
7	0.66	65.966	0.108	49.508	0.503	0.782	15000.0
8	0.663	66.279	0.109	49.949	0.532	0.78	15000.0
9	0.667	66.666	0.109	49.824	0.506	0.78	20000.0
10	0.668	66.776	0.109	49.892	0.512	0.779	15000.0
