NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.108	87.131	0.059	194.691	0.49	0.561	40000.0
2	0.107	77.486	0.058	100.173	0.431	0.546	30000.0
3	0.113	68.49	0.063	100.665	0.333	0.515	20000.0
4	0.107	77.463	0.059	100.277	0.383	0.551	20000.0
5	0.105	77.273	0.058	194.59	0.414	0.557	20000.0
6	0.114	87.741	0.063	195.039	0.534	0.532	40000.0
7	0.108	77.573	0.059	100.281	0.372	0.548	20000.0
8	0.11	77.781	0.06	100.42	0.43	0.545	20000.0
9	0.102	76.97	0.056	100.036	0.443	0.582	30000.0
10	0.107	67.957	0.06	100.365	0.349	0.556	20000.0
