NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.326	32.557	0.05	24.567	1.226	0.943	15000.0
2	0.336	33.64	0.052	25.844	3.372	0.931	15000.0
3	0.36	36.008	0.055	28.771	0.874	0.929	15000.0
4	0.323	32.314	0.05	24.971	1.975	0.94	20000.0
5	0.336	33.616	0.052	25.771	0.161	0.932	30000.0
6	0.325	32.527	0.05	24.823	21.236	0.943	15000.0
7	0.338	33.766	0.052	26.298	0.286	0.933	15000.0
8	0.327	32.716	0.051	24.785	0.184	0.939	15000.0
9	0.338	33.847	0.052	26.366	0.162	0.932	15000.0
10	0.329	32.939	0.051	24.744	0.175	0.942	15000.0
