Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
OGG1_boot	3.69E-03	3.59E-02	0.00E+00	4.43E-02	2.27E-03	1.33E-02	3.78E-03	1.81E-03	4.10E-10
OGG1_boot.1	0.00E+00	2.82E-02	1.38E-03	1.66E-02	2.94E-03	9.54E-03	3.75E-03	4.91E-03	7.51E-03
OGG1_boot.2	0.00E+00	3.06E-02	1.32E-03	4.24E-02	1.09E-03	1.89E-02	5.76E-03	5.85E-03	9.50E-04
OGG1_boot.3	0.00E+00	2.19E-02	1.78E-04	2.59E-02	2.01E-03	1.41E-02	0.00E+00	6.44E-03	4.45E-03
OGG1_boot.4	4.82E-70	1.95E-02	1.02E-03	3.27E-02	1.39E-03	1.94E-02	3.52E-03	4.46E-03	1.08E-02
OGG1_boot.5	1.74E-03	3.05E-02	9.04E-04	2.95E-02	1.99E-03	1.20E-02	0.00E+00	9.66E-04	3.46E-03
OGG1_boot.6	1.79E-03	2.84E-02	7.14E-04	3.36E-02	3.10E-03	1.34E-02	2.92E-03	2.40E-03	1.37E-04
OGG1_boot.7	1.68E-03	2.96E-02	6.68E-04	3.17E-02	2.53E-03	1.20E-02	2.94E-03	3.50E-03	2.44E-03
OGG1_boot.8	1.19E-03	2.96E-02	5.85E-07	4.07E-02	3.16E-03	1.77E-02	1.40E-03	6.11E-03	2.48E-13
OGG1_boot.9	0.00E+00	2.11E-02	1.05E-03	2.58E-02	1.86E-03	1.27E-02	3.01E-03	3.79E-03	7.68E-03
OGG1_boot.10	2.17E-03	3.11E-02	0.00E+00	2.69E-02	1.25E-03	1.04E-02	1.60E-03	4.41E-03	0.00E+00
OGG1_boot.11	2.31E-04	2.37E-02	1.32E-04	3.04E-02	1.25E-03	1.35E-02	3.08E-03	1.66E-03	4.51E-03
OGG1_boot.12	1.69E-03	2.89E-02	9.96E-04	3.25E-02	2.23E-03	1.28E-02	2.71E-03	2.94E-03	3.67E-03
OGG1_boot.13	2.15E-04	2.86E-02	1.23E-03	2.40E-02	3.09E-03	9.51E-03	3.17E-03	3.41E-03	5.95E-03
OGG1_boot.14	1.28E-03	2.43E-02	0.00E+00	2.34E-02	2.11E-03	9.31E-03	2.88E-03	5.06E-03	3.44E-03
OGG1_boot.15	1.17E-136	2.30E-02	4.82E-04	3.28E-02	9.48E-04	1.56E-02	3.58E-03	3.98E-03	5.31E-03
OGG1_boot.16	2.65E-03	3.39E-02	1.28E-03	3.07E-02	1.85E-03	1.02E-02	3.74E-148	0.00E+00	0.00E+00
OGG1_boot.17	0.00E+00	3.00E-02	1.66E-03	3.96E-02	1.30E-03	1.64E-02	2.68E-03	3.78E-03	3.93E-10
OGG1_boot.18	2.88E-103	2.72E-02	8.76E-04	2.90E-02	2.18E-03	9.68E-03	4.93E-158	4.61E-03	7.78E-04
OGG1_boot.19	2.23E-03	2.75E-02	1.03E-03	3.57E-02	1.47E-03	1.38E-02	4.66E-03	1.74E-23	4.07E-03
OGG1_boot.20	1.88E-03	2.78E-02	8.98E-122	3.32E-02	1.98E-03	1.25E-02	3.21E-03	2.78E-03	1.31E-03
OGG1_boot.21	1.37E-03	3.36E-02	1.56E-03	4.42E-02	1.67E-03	1.76E-02	5.77E-03	3.07E-03	6.11E-07
OGG1_boot.22	2.06E-03	2.06E-02	1.39E-05	2.89E-02	3.22E-03	1.44E-02	2.61E-03	9.96E-03	5.34E-03
OGG1_boot.23	1.61E-03	3.06E-02	1.80E-03	4.03E-02	2.80E-03	1.59E-02	5.68E-03	5.31E-03	3.52E-03
OGG1_boot.24	2.69E-03	2.47E-02	2.22E-03	3.17E-02	3.91E-03	1.35E-02	1.94E-03	7.50E-03	2.43E-03
OGG1_boot.25	1.01E-72	2.53E-02	1.88E-03	3.46E-02	3.66E-03	1.51E-02	4.74E-03	9.67E-03	3.02E-03
OGG1_boot.26	0.00E+00	1.83E-02	0.00E+00	3.53E-02	3.30E-03	2.25E-02	0.00E+00	1.05E-02	1.35E-02
OGG1_boot.27	0.00E+00	2.92E-02	8.65E-04	2.54E-02	1.41E-03	9.42E-03	1.18E-03	1.55E-03	2.03E-03
OGG1_boot.28	2.20E-03	2.23E-02	9.44E-157	3.78E-02	2.17E-03	2.09E-02	5.34E-03	4.74E-03	1.36E-02
OGG1_boot.29	0.00E+00	2.74E-02	1.46E-03	3.37E-02	2.97E-03	1.47E-02	3.35E-03	4.81E-03	2.40E-03
OGG1_boot.30	0.00E+00	3.14E-02	3.17E-04	2.92E-02	3.05E-03	1.06E-02	1.94E-03	3.05E-03	4.92E-03
OGG1_boot.31	1.85E-05	2.89E-02	1.80E-03	3.11E-02	3.14E-03	1.15E-02	2.94E-03	3.60E-03	2.45E-37
OGG1_boot.32	0.00E+00	2.26E-02	5.60E-04	2.55E-02	1.26E-03	1.25E-02	0.00E+00	1.24E-03	3.69E-03
OGG1_boot.33	0.00E+00	2.43E-02	4.02E-04	3.00E-02	1.27E-03	1.52E-02	2.11E-03	2.80E-03	5.96E-03
OGG1_boot.34	0.00E+00	2.06E-02	1.33E-03	2.74E-02	2.00E-03	1.65E-02	6.05E-03	6.91E-03	9.63E-03
OGG1_boot.35	3.59E-03	2.96E-02	7.04E-04	3.88E-02	9.79E-04	1.56E-02	2.97E-115	1.55E-03	1.07E-03
OGG1_boot.36	1.55E-03	2.73E-02	3.95E-04	3.19E-02	1.84E-03	1.36E-02	3.34E-03	1.74E-03	5.57E-03
OGG1_boot.37	0.00E+00	2.69E-02	2.35E-04	2.58E-02	6.98E-04	1.02E-02	2.39E-03	1.81E-03	3.25E-03
OGG1_boot.38	0.00E+00	3.05E-02	9.15E-04	2.76E-02	1.95E-03	1.02E-02	1.88E-03	1.33E-03	4.70E-03
OGG1_boot.39	0.00E+00	3.08E-02	7.34E-04	3.87E-02	1.27E-03	1.39E-02	7.74E-07	8.99E-04	4.57E-04
OGG1_boot.40	0.00E+00	2.54E-02	1.42E-03	1.90E-02	3.30E-03	9.23E-03	3.19E-03	7.42E-03	5.67E-03
OGG1_boot.41	1.70E-03	2.79E-02	1.57E-03	3.42E-02	2.69E-03	1.45E-02	2.32E-03	3.90E-03	1.72E-03
OGG1_boot.42	8.48E-04	2.35E-02	0.00E+00	2.15E-02	2.90E-03	9.77E-03	2.03E-03	8.69E-03	3.00E-03
OGG1_boot.43	0.00E+00	2.50E-02	7.54E-04	3.73E-02	9.02E-04	1.86E-02	3.56E-32	2.51E-03	7.02E-03
OGG1_boot.44	4.90E-06	2.87E-02	4.95E-06	2.64E-02	2.20E-03	9.22E-03	1.01E-03	4.13E-03	1.72E-03
OGG1_boot.45	2.55E-96	2.81E-02	7.70E-04	2.78E-02	1.99E-03	1.05E-02	4.81E-04	3.84E-03	2.97E-03
OGG1_boot.46	5.79E-149	2.25E-02	1.92E-03	2.87E-02	2.99E-03	1.46E-02	6.43E-03	6.62E-03	7.02E-03
OGG1_boot.47	1.27E-03	2.40E-02	3.86E-04	3.18E-02	3.24E-05	1.57E-02	3.68E-03	5.46E-03	5.49E-03
OGG1_boot.48	1.68E-03	2.62E-02	7.13E-04	3.28E-02	1.84E-03	1.46E-02	2.29E-03	2.47E-03	4.53E-03
OGG1_boot.49	2.37E-03	2.09E-02	9.13E-04	3.04E-02	5.07E-99	1.70E-02	2.37E-03	5.47E-03	9.57E-03
OGG1_boot.50	1.56E-03	2.74E-02	7.01E-04	3.22E-02	1.41E-03	1.46E-02	3.18E-03	7.44E-04	5.04E-03
OGG1_boot.51	3.81E-03	2.84E-02	1.04E-03	4.13E-02	0.00E+00	2.03E-02	4.31E-03	7.43E-03	4.66E-03
OGG1_boot.52	1.47E-03	2.72E-02	6.17E-04	3.51E-02	9.39E-04	1.66E-02	2.84E-03	2.21E-03	6.74E-03
OGG1_boot.53	2.24E-03	2.46E-02	8.63E-05	3.49E-02	1.28E-03	1.66E-02	4.80E-03	8.13E-03	6.22E-03
OGG1_boot.54	0.00E+00	2.67E-02	5.58E-04	2.84E-02	1.75E-03	1.21E-02	3.41E-03	8.46E-03	8.32E-05
OGG1_boot.55	1.56E-03	2.59E-02	5.22E-04	3.33E-02	2.22E-03	1.50E-02	3.65E-03	6.85E-10	7.87E-03
