NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.408	40.845	0.065	31.219	0.269	0.906	15000.0
2	0.404	40.421	0.064	31.025	2.773	0.907	15000.0
3	0.448	44.818	0.07	34.369	2.27	0.882	15000.0
4	0.404	40.378	0.064	30.99	0.253	0.907	15000.0
5	0.404	40.404	0.064	31.009	0.309	0.907	105000.0
6	0.404	40.405	0.064	31.009	1.141	0.907	105000.0
7	0.408	40.835	0.065	31.207	1.155	0.906	105000.0
8	0.404	40.419	0.064	31.023	1.108	0.907	15000.0
9	0.408	40.838	0.065	31.212	1.934	0.906	15000.0
10	0.408	40.838	0.065	31.222	0.296	0.906	45000.0
