NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	103.06	62.356	17.986	42.914	0.517	0.841	50000.0
2	102.482	62.72	17.706	42.936	0.516	0.84	80000.0
3	105.251	63.493	18.555	43.617	0.516	0.836	70000.0
4	106.408	64.098	18.58	43.822	0.517	0.835	150000.0
5	98.735	59.432	16.882	40.654	0.514	0.855	100000.0
6	99.189	57.706	17.735	39.279	0.5	0.866	80000.0
7	98.226	59.877	16.915	41.489	0.519	0.849	90000.0
8	102.17	62.578	17.508	42.416	0.52	0.844	60000.0
9	98.99	59.679	17.074	41.13	0.509	0.852	70000.0
10	96.973	58.023	16.517	39.75	0.504	0.862	60000.0
