NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.097	38.229	0.056	99.976	0.193	0.592	30000.0
2	0.1	76.798	0.055	99.863	0.412	0.59	50000.0
3	0.099	38.454	0.057	100.124	0.202	0.587	50000.0
4	0.098	66.99	0.055	99.937	0.307	0.606	20000.0
5	0.092	66.398	0.052	99.584	0.354	0.636	30000.0
6	0.105	58.182	0.06	100.351	0.271	0.565	30000.0
7	0.098	47.928	0.056	99.986	0.238	0.588	20000.0
8	0.1	67.263	0.056	99.979	0.371	0.591	50000.0
9	0.093	37.858	0.054	99.771	0.186	0.607	30000.0
10	0.094	57.096	0.054	99.756	0.266	0.62	20000.0
