Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
BRCA_TCGA-3C-AAAU	0	8	2	3	0	4	0	0	3	0	2	0	0	9	2	6	0	7	0	0
BRCA_TCGA-3C-AALI	14	5	71	10	5	15	5	5	5	5	8	9	0	54	521	0	0	32	36	8
BRCA_TCGA-3C-AALJ	0	3	3	4	5	5	2	0	0	0	1	1	0	2	10	13	0	7	9	1
BRCA_TCGA-3C-AALK	2	0	2	7	8	9	0	1	3	0	0	0	0	4	9	4	0	7	5	3
BRCA_TCGA-4H-AAAK	0	3	4	3	4	3	0	0	0	2	4	0	0	0	0	5	0	2	2	1
BRCA_TCGA-5L-AAT0	1	8	26	0	6	0	0	0	0	0	0	0	3	98	121	0	0	1	7	8
BRCA_TCGA-5L-AAT1	50	11	151	0	23	0	2	1	0	0	0	0	0	397	1243	0	0	0	86	22
BRCA_TCGA-5T-A9QA	0	1	0	8	7	13	0	3	3	0	0	0	0	7	0	0	0	2	4	5
BRCA_TCGA-A1-A0SB	0	0	1	5	1	0	0	0	1	0	4	0	0	1	0	0	0	3	0	0
BRCA_TCGA-A1-A0SD	0	1	2	8	0	1	0	0	0	6	2	0	0	1	2	6	0	3	3	5
BRCA_TCGA-A1-A0SE	0	2	3	0	2	1	0	0	0	1	3	1	0	10	1	4	0	0	7	1
BRCA_TCGA-A1-A0SF	1	6	3	0	0	0	0	0	0	0	1	0	0	24	22	0	2	0	1	4
BRCA_TCGA-A1-A0SG	0	2	5	5	1	2	0	0	0	0	2	0	0	4	0	7	0	4	1	2
BRCA_TCGA-A1-A0SH	7	6	1	0	1	7	0	1	1	0	4	0	3	29	58	0	0	13	3	4
BRCA_TCGA-A1-A0SI	7	2	17	3	2	3	2	2	1	0	5	2	2	30	193	0	0	4	3	0
BRCA_TCGA-A1-A0SJ	0	6	0	2	1	5	0	0	0	2	1	0	1	2	9	0	2	5	4	0
BRCA_TCGA-A1-A0SK	1	1	3	14	0	0	0	0	0	6	2	0	1	4	1	12	0	29	7	3
BRCA_TCGA-A1-A0SM	1	3	4	0	0	5	0	1	2	1	0	0	0	0	0	10	0	0	2	3
BRCA_TCGA-A1-A0SN	1	5	7	2	2	6	1	0	0	0	0	0	1	3	19	11	1	14	3	0
BRCA_TCGA-A1-A0SO	15	2	5	10	7	5	0	13	3	30	8	47	2	16	16	9	7	95	26	37
BRCA_TCGA-A1-A0SP	0	6	0	3	2	5	0	0	1	18	2	0	4	12	0	0	0	16	0	1
BRCA_TCGA-A2-A04N	0	1	6	4	0	5	0	5	0	4	1	6	0	4	4	6	1	2	2	2
BRCA_TCGA-A2-A04R	5	4	3	4	2	2	2	7	3	0	0	18	0	5	6	0	3	25	5	8
BRCA_TCGA-A2-A04U	0	2	4	11	0	0	2	2	2	1	3	1	1	3	1	4	3	16	1	10
BRCA_TCGA-A2-A04W	3	8	19	0	1	7	0	0	4	6	7	0	4	24	93	0	1	7	3	0
BRCA_TCGA-A2-A0CK	0	2	1	7	0	2	0	2	0	0	1	2	1	5	2	1	0	0	0	1
BRCA_TCGA-A2-A0CL	0	4	14	12	2	7	1	1	0	0	3	0	0	18	125	0	2	0	11	0
BRCA_TCGA-A2-A0CR	1	1	11	3	1	0	1	0	4	0	0	0	1	37	140	0	0	0	0	10
BRCA_TCGA-A2-A0CS	0	6	2	6	0	3	0	0	0	6	2	2	1	0	1	7	0	4	6	2
BRCA_TCGA-A2-A0CV	0	6	3	0	0	4	0	0	0	0	0	2	0	0	1	5	0	2	0	1
BRCA_TCGA-A2-A0CW	2	1	5	8	0	4	2	1	2	0	0	3	0	9	23	0	0	13	5	6
BRCA_TCGA-A2-A0D3	0	5	2	4	0	9	2	0	0	2	0	4	0	1	1	0	0	0	1	1
BRCA_TCGA-A2-A0EN	0	0	3	8	2	0	0	0	2	0	2	3	0	4	0	6	0	4	1	4
BRCA_TCGA-A2-A0EP	0	0	0	1	1	0	0	1	1	0	0	0	0	2	5	4	1	0	0	0
BRCA_TCGA-A2-A0ES	0	1	1	1	2	1	0	0	1	3	0	0	0	3	0	3	0	2	1	0
BRCA_TCGA-A2-A0EW	0	1	1	1	0	3	0	0	0	3	4	0	0	1	1	2	0	3	0	0
BRCA_TCGA-A2-A0ST	0	1	1	6	0	0	0	0	1	0	3	0	3	3	3	3	0	1	3	0
BRCA_TCGA-A2-A0SU	0	5	0	1	2	2	0	0	1	2	0	5	0	2	2	3	0	5	2	3
BRCA_TCGA-A2-A0SX	2	8	0	2	0	0	3	0	3	0	0	1	0	5	6	3	1	1	6	0
BRCA_TCGA-A2-A0SY	1	1	16	6	1	4	0	0	2	9	2	0	1	26	99	0	0	7	2	0
BRCA_TCGA-A2-A0T0	6	5	4	2	0	4	0	5	14	31	11	8	14	0	19	0	6	70	3	15
BRCA_TCGA-A2-A0T1	0	1	3	5	2	0	0	0	5	0	0	0	1	3	0	2	2	1	2	5
BRCA_TCGA-A2-A0T3	2	3	2	0	1	10	0	0	1	5	0	5	0	0	2	0	0	4	8	1
BRCA_TCGA-A2-A0T4	0	4	0	1	2	6	0	0	0	2	4	0	0	0	9	2	0	9	0	2
BRCA_TCGA-A2-A0T5	0	2	1	2	0	1	0	0	0	0	0	0	0	0	1	1	1	2	1	1
BRCA_TCGA-A2-A0T6	0	4	2	5	0	3	0	0	0	3	0	1	1	1	2	2	0	1	0	3
BRCA_TCGA-A2-A0T7	0	1	3	4	0	5	0	0	2	0	1	2	0	2	2	1	2	4	0	0
BRCA_TCGA-A2-A0YC	0	2	1	1	1	6	0	1	1	0	0	0	0	1	4	0	0	9	3	2
BRCA_TCGA-A2-A0YD	2	2	13	7	0	0	0	0	0	5	0	1	2	10	39	2	1	0	0	3
BRCA_TCGA-A2-A0YE	1	5	2	4	0	4	0	0	0	0	2	0	2	7	5	0	0	1	9	1
BRCA_TCGA-A2-A0YF	4	3	1	1	1	5	0	0	0	0	0	5	0	4	0	5	0	2	4	4
BRCA_TCGA-A2-A0YG	0	2	4	6	1	7	2	1	2	11	4	6	0	13	4	3	0	8	0	4
BRCA_TCGA-A2-A0YH	3	2	5	10	3	0	0	0	0	4	2	1	0	8	38	6	0	13	5	0
BRCA_TCGA-A2-A0YI	0	1	1	1	0	0	0	1	1	0	0	0	1	2	0	5	0	3	1	1
BRCA_TCGA-A2-A0YJ	2	5	4	10	1	8	0	0	4	16	0	2	0	0	5	7	6	25	3	0
BRCA_TCGA-A2-A0YK	12	2	27	3	2	0	1	0	2	0	1	0	0	52	360	0	0	0	16	0
BRCA_TCGA-A2-A0YL	0	1	1	2	1	0	0	0	0	1	1	0	1	10	19	4	0	0	1	1
BRCA_TCGA-A2-A0YM	0	8	7	9	0	9	1	0	2	0	6	2	1	12	31	1	0	9	10	1
BRCA_TCGA-A2-A0YT	1	10	10	5	0	0	0	0	0	1	3	0	1	14	10	0	0	19	2	5
BRCA_TCGA-A2-A1FV	0	3	1	8	0	0	0	0	1	2	2	0	6	9	4	3	0	5	2	4
BRCA_TCGA-A2-A1FW	4	4	5	12	7	5	0	1	6	5	0	2	1	10	4	0	4	12	10	3
BRCA_TCGA-A2-A1FX	3	3	2	1	0	3	0	0	0	0	2	0	0	4	0	1	0	5	1	3
BRCA_TCGA-A2-A1FZ	0	2	0	5	0	2	0	0	3	5	4	0	0	3	1	1	0	0	3	0
BRCA_TCGA-A2-A1G0	0	0	2	2	0	0	0	0	0	1	1	0	0	3	2	7	0	1	3	1
BRCA_TCGA-A2-A1G1	0	0	1	4	4	2	2	0	0	2	2	1	0	4	1	0	0	6	6	4
BRCA_TCGA-A2-A1G6	0	1	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	4	0	0
BRCA_TCGA-A2-A259	0	1	2	3	2	0	0	0	0	0	0	0	0	8	1	6	0	5	1	0
BRCA_TCGA-A2-A25A	5	2	3	6	1	0	0	4	0	0	2	1	2	30	60	0	0	7	0	6
BRCA_TCGA-A2-A25B	4	6	5	0	1	5	2	8	2	14	0	2	6	14	2	9	0	29	4	15
BRCA_TCGA-A2-A25C	3	0	0	0	2	1	0	0	7	0	1	17	0	4	1	0	0	3	0	0
BRCA_TCGA-A2-A25D	0	2	2	4	7	4	0	0	0	0	3	3	1	6	7	9	4	7	4	1
BRCA_TCGA-A2-A25E	1	1	2	2	9	2	2	0	1	0	4	4	0	2	5	2	0	18	0	6
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	1
BRCA_TCGA-A2-A3KD	0	0	0	5	0	1	0	0	2	0	0	0	2	4	0	3	0	0	0	1
BRCA_TCGA-A2-A3XT	4	0	0	7	7	1	0	0	0	0	9	0	0	0	28	21	3	41	1	0
BRCA_TCGA-A2-A3XU	0	1	1	5	1	6	0	1	2	3	2	0	1	0	1	0	0	5	0	2
BRCA_TCGA-A2-A3XV	0	6	3	2	3	0	0	0	5	3	0	3	0	3	0	11	1	6	2	0
BRCA_TCGA-A2-A3XW	0	1	2	0	0	1	2	0	0	0	3	0	2	1	1	0	0	2	0	2
BRCA_TCGA-A2-A3XX	0	5	4	5	2	0	2	0	1	4	2	4	0	3	2	0	0	14	0	4
BRCA_TCGA-A2-A3XZ	0	1	5	4	1	3	0	0	0	3	2	0	3	2	18	0	0	6	0	4
BRCA_TCGA-A2-A3Y0	3	9	4	5	3	8	0	2	16	18	11	7	2	0	44	17	5	83	4	2
BRCA_TCGA-A2-A4S1	7	6	1	3	4	12	0	1	6	0	1	1	3	0	5	0	2	26	11	9
BRCA_TCGA-A2-A4S2	0	3	0	4	2	2	0	0	2	1	0	0	0	2	6	13	0	1	5	2
BRCA_TCGA-A2-A4S3	4	4	3	11	5	3	2	0	4	6	4	5	5	6	13	12	0	13	3	4
BRCA_TCGA-A7-A0CE	1	3	1	2	0	0	0	1	3	4	3	6	4	9	3	0	0	13	1	7
