NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.662	66.219	0.108	49.625	0.52	0.781	20000.0
2	0.666	66.65	0.109	49.833	0.534	0.78	15000.0
3	0.66	65.968	0.108	49.508	0.506	0.782	15000.0
4	0.667	66.714	0.109	49.854	0.508	0.78	15000.0
5	0.66	65.967	0.108	49.496	0.504	0.782	15000.0
6	0.667	66.709	0.109	49.856	0.556	0.779	40000.0
7	0.66	65.991	0.108	49.515	0.549	0.782	50000.0
8	0.66	65.985	0.108	49.521	0.557	0.782	30000.0
9	0.668	66.771	0.109	49.888	0.533	0.779	25000.0
10	0.66	66.024	0.108	49.54	0.509	0.782	15000.0
