Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
BRCA_TCGA-3C-AAAU	4	0	8	2	0	0	1	3	3	4	8	9	4	0
BRCA_TCGA-3C-AALI	22	13	1	80	5	5	9	0	20	14	3	61	575	0
BRCA_TCGA-3C-AALJ	5	0	3	3	4	0	4	0	0	4	11	23	9	0
BRCA_TCGA-3C-AALK	10	2	0	1	7	0	0	3	11	1	5	14	10	0
BRCA_TCGA-4H-AAAK	5	0	3	6	4	0	0	0	0	6	1	8	0	0
BRCA_TCGA-5L-AAT0	0	1	10	32	0	0	10	0	21	0	49	0	156	0
BRCA_TCGA-5L-AAT1	0	47	7	180	0	0	40	0	140	0	130	0	1442	0
BRCA_TCGA-5T-A9QA	13	0	0	0	4	1	0	1	18	0	9	7	0	0
BRCA_TCGA-A1-A0SB	4	0	0	1	2	0	1	2	0	4	0	2	0	0
BRCA_TCGA-A1-A0SD	11	0	0	2	3	0	0	1	0	3	6	12	2	0
BRCA_TCGA-A1-A0SE	0	0	3	4	1	0	4	0	1	4	10	5	4	0
BRCA_TCGA-A1-A0SF	0	1	7	4	0	0	2	0	3	0	14	0	32	1
BRCA_TCGA-A1-A0SG	6	0	1	6	1	0	1	1	0	4	6	7	2	0
BRCA_TCGA-A1-A0SH	0	6	7	1	0	0	0	0	12	4	22	15	71	0
BRCA_TCGA-A1-A0SI	2	7	2	20	0	0	2	0	11	7	12	0	215	0
BRCA_TCGA-A1-A0SJ	5	0	6	0	0	0	0	0	6	1	1	10	9	2
BRCA_TCGA-A1-A0SK	15	1	0	3	3	0	1	1	0	3	8	46	3	0
BRCA_TCGA-A1-A0SM	2	1	3	4	0	2	1	4	0	2	4	9	0	0
BRCA_TCGA-A1-A0SN	5	1	6	8	0	0	1	1	0	2	10	18	23	1
BRCA_TCGA-A1-A0SO	5	17	3	6	16	22	0	0	29	7	36	180	24	8
BRCA_TCGA-A1-A0SP	4	0	7	0	11	1	1	1	1	1	20	21	2	0
BRCA_TCGA-A2-A04N	5	0	0	7	0	7	0	0	5	2	14	7	5	1
BRCA_TCGA-A2-A04R	2	5	4	3	0	10	2	0	14	0	7	44	8	3
BRCA_TCGA-A2-A04U	12	0	0	4	1	2	2	4	0	3	2	31	3	3
BRCA_TCGA-A2-A04W	0	2	10	21	1	0	0	2	8	8	18	9	107	1
BRCA_TCGA-A2-A0CK	9	0	1	1	0	1	0	0	6	1	3	2	3	0
BRCA_TCGA-A2-A0CL	18	0	1	16	0	0	4	0	13	5	2	0	139	2
BRCA_TCGA-A2-A0CR	0	0	1	13	0	0	2	4	14	0	16	0	160	0
BRCA_TCGA-A2-A0CS	9	0	6	2	3	0	1	0	0	4	2	19	1	1
BRCA_TCGA-A2-A0CV	1	0	8	3	0	0	0	0	0	1	3	7	1	0
BRCA_TCGA-A2-A0CW	11	2	0	5	0	1	4	2	5	0	7	21	26	0
BRCA_TCGA-A2-A0D3	8	0	4	2	0	0	2	0	6	2	5	2	1	0
BRCA_TCGA-A2-A0EN	7	0	0	3	2	0	0	4	0	2	10	11	0	0
BRCA_TCGA-A2-A0EP	0	0	0	0	1	2	0	3	0	0	3	1	5	1
BRCA_TCGA-A2-A0ES	1	0	1	1	3	0	0	1	0	0	6	6	0	0
BRCA_TCGA-A2-A0EW	3	0	0	1	2	0	1	0	1	5	2	4	1	0
BRCA_TCGA-A2-A0ST	5	0	1	1	1	0	0	2	0	3	2	9	4	0
BRCA_TCGA-A2-A0SU	0	0	7	0	1	1	0	1	0	1	11	11	2	0
BRCA_TCGA-A2-A0SX	1	3	7	0	0	0	6	3	0	0	6	6	7	2
BRCA_TCGA-A2-A0SY	7	1	0	18	4	0	0	2	0	1	25	2	117	0
BRCA_TCGA-A2-A0T0	6	7	6	4	16	10	0	20	0	10	8	99	24	7
BRCA_TCGA-A2-A0T1	6	0	1	3	1	0	0	9	0	0	3	6	0	3
BRCA_TCGA-A2-A0T3	5	2	2	2	1	0	0	0	14	1	1	15	1	0
BRCA_TCGA-A2-A0T4	4	0	5	0	2	0	0	0	0	6	2	13	9	0
BRCA_TCGA-A2-A0T5	4	0	1	1	0	0	0	0	0	0	1	4	1	1
BRCA_TCGA-A2-A0T6	10	0	3	2	1	0	0	1	0	0	2	6	3	0
BRCA_TCGA-A2-A0T7	6	0	0	3	0	0	0	2	3	2	4	4	2	3
BRCA_TCGA-A2-A0YC	4	0	1	1	0	1	0	0	7	1	1	11	5	0
BRCA_TCGA-A2-A0YD	7	3	2	15	3	0	0	1	0	0	10	1	44	1
BRCA_TCGA-A2-A0YE	6	1	5	2	0	0	3	0	0	2	8	9	7	0
BRCA_TCGA-A2-A0YF	1	4	3	1	0	0	0	0	9	1	5	14	1	0
BRCA_TCGA-A2-A0YG	8	0	1	4	5	0	3	0	12	6	16	16	7	0
BRCA_TCGA-A2-A0YH	9	3	2	6	5	0	1	0	0	2	11	17	44	0
BRCA_TCGA-A2-A0YI	1	0	1	1	0	2	0	1	0	0	2	9	1	0
BRCA_TCGA-A2-A0YJ	18	3	2	3	11	2	0	4	0	2	7	33	6	7
BRCA_TCGA-A2-A0YK	3	12	1	32	0	0	4	2	10	0	10	0	404	0
BRCA_TCGA-A2-A0YL	1	0	1	1	2	0	1	1	0	1	12	0	23	0
BRCA_TCGA-A2-A0YM	15	0	7	8	0	0	4	1	9	8	5	20	32	0
BRCA_TCGA-A2-A0YT	7	1	11	12	0	0	2	0	0	3	5	23	17	0
BRCA_TCGA-A2-A1FV	8	0	3	2	0	0	1	4	0	1	12	11	8	0
BRCA_TCGA-A2-A1FW	17	4	1	5	11	0	1	7	0	0	12	26	7	4
BRCA_TCGA-A2-A1FX	2	3	3	2	0	0	0	0	0	2	8	8	0	0
BRCA_TCGA-A2-A1FZ	7	0	0	0	3	0	2	3	0	5	2	5	2	0
BRCA_TCGA-A2-A1G0	0	0	0	2	0	0	0	0	0	2	10	7	2	0
BRCA_TCGA-A2-A1G1	4	0	0	1	6	0	4	0	2	2	5	12	3	0
BRCA_TCGA-A2-A1G6	1	0	1	0	1	0	0	1	0	0	0	5	1	0
BRCA_TCGA-A2-A259	1	0	1	2	1	0	0	1	1	0	11	7	4	0
BRCA_TCGA-A2-A25A	3	5	2	4	0	2	0	0	21	1	11	10	70	0
BRCA_TCGA-A2-A25B	0	4	8	6	7	11	4	2	5	0	19	55	7	0
BRCA_TCGA-A2-A25C	0	3	0	0	0	0	0	7	15	1	2	9	2	0
BRCA_TCGA-A2-A25D	4	0	2	2	6	0	0	0	5	5	11	17	8	4
BRCA_TCGA-A2-A25E	2	1	1	2	7	0	2	2	12	5	0	21	6	0
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	1	5	0	0
BRCA_TCGA-A2-A3KD	5	0	0	0	0	0	0	4	0	0	8	0	1	0
BRCA_TCGA-A2-A3XT	6	4	0	0	7	0	0	3	0	13	3	53	29	4
BRCA_TCGA-A2-A3XU	8	0	0	1	4	1	0	1	3	3	1	8	1	0
BRCA_TCGA-A2-A3XV	1	0	7	4	4	0	0	8	0	0	10	12	0	2
BRCA_TCGA-A2-A3XW	1	0	1	2	0	0	2	0	3	3	1	3	1	0
BRCA_TCGA-A2-A3XX	6	0	6	4	3	0	3	1	0	1	4	21	3	0
BRCA_TCGA-A2-A3XZ	7	0	0	6	4	0	0	0	0	2	3	7	23	0
BRCA_TCGA-A2-A3Y0	8	4	11	3	7	4	0	19	0	15	18	102	47	5
BRCA_TCGA-A2-A4S1	8	6	6	0	0	0	0	5	18	2	1	44	6	2
BRCA_TCGA-A2-A4S2	5	0	2	0	3	0	1	4	0	2	5	14	6	1
BRCA_TCGA-A2-A4S3	13	5	4	3	8	0	4	8	1	6	11	28	16	0
BRCA_TCGA-A7-A0CE	0	1	4	1	2	2	1	3	6	3	9	23	6	0
BRCA_TCGA-A7-A0CH	0	0	0	1	0	0	0	0	1	3	8	4	0	0
BRCA_TCGA-A7-A0D9	0	0	1	0	0	0	1	1	1	0	4	0	3	1
BRCA_TCGA-A7-A0DA	3	2	4	5	4	0	1	0	20	8	8	108	16	8
BRCA_TCGA-A7-A0DB	8	1	1	2	2	0	3	3	2	0	0	9	19	3
BRCA_TCGA-A7-A13D	9	0	3	3	6	1	5	2	8	5	14	67	17	0
BRCA_TCGA-A7-A13E	31	0	4	2	8	3	2	0	0	4	1	19	6	0
BRCA_TCGA-A7-A13F	9	1	3	6	4	0	0	1	4	3	5	6	3	0
BRCA_TCGA-A7-A13G	3	1	5	0	2	0	0	0	0	2	3	5	10	1
BRCA_TCGA-A7-A26E	10	0	0	9	2	0	1	0	12	2	2	8	19	2
BRCA_TCGA-A7-A26F	10	3	0	4	5	1	0	0	0	0	5	14	4	0
BRCA_TCGA-A7-A26G	2	2	3	2	4	3	1	2	0	1	5	27	16	0
BRCA_TCGA-A7-A26H	19	3	0	6	0	0	1	0	21	3	8	13	76	0
BRCA_TCGA-A7-A26I	3	1	1	2	2	0	0	2	0	4	10	14	7	0
BRCA_TCGA-A7-A26J	5	3	0	0	1	0	0	0	4	0	5	20	4	0
BRCA_TCGA-A7-A2KD	6	1	5	3	0	0	0	0	9	3	11	9	7	1
BRCA_TCGA-A7-A3RF	6	0	0	0	3	0	2	5	0	2	3	17	2	0
BRCA_TCGA-A7-A425	9	0	1	0	0	0	2	2	1	0	4	14	0	0
BRCA_TCGA-A7-A4SC	2	1	4	3	0	0	1	0	4	2	6	13	1	1
BRCA_TCGA-A7-A4SD	20	0	0	3	6	3	0	5	1	0	2	15	2	5
BRCA_TCGA-A7-A4SE	5	3	0	1	18	1	2	10	0	0	6	58	40	2
BRCA_TCGA-A7-A56D	9	9	12	17	5	0	0	0	19	0	27	24	102	1
BRCA_TCGA-A7-A5ZV	17	2	8	7	0	1	0	2	24	28	19	113	33	14
BRCA_TCGA-A7-A5ZW	6	1	1	3	1	0	0	3	0	6	0	2	13	0
