Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	0.9999999999999999	2.77e-322	5e-322	2.8e-322	4.05e-322	3.2379643823062764e-214
OGG1_boot.1	1.0	4.74e-322	1.265e-321	4.74e-322	2.196578357e-315	1.3074221266390802e-161
OGG1_boot.2	0.9999999999999999	4.7e-322	7.56e-322	4.74e-322	1.977192653489072e-306	1.9640163109670205e-141
OGG1_boot.3	1.0	5.83e-322	1.55e-321	5.83e-322	8.637855803724018e-175	1.500127276015257e-122
OGG1_boot.4	0.9977157730340069	2.7455848243645844e-195	0.002284226965993183	8.554070403485534e-196	1.9616320090253864e-19	5.24463300122799e-40
OGG1_boot.5	1.0	3.7e-322	7.5e-322	3.75e-322	5.43e-322	7.049517364344396e-165
OGG1_boot.6	0.9999999999999999	5.24e-322	1.393e-321	5.3e-322	1.550837488752627e-294	8.782951478732575e-134
OGG1_boot.7	1.0	5e-322	1.07e-321	5.04e-322	1.7912729028196254e-293	3.921103751600916e-141
OGG1_boot.8	1.0	7e-322	1.616e-321	8.1e-322	1.4724830549481356e-228	2.846854926826224e-100
OGG1_boot.9	1.0	4.8794752579436386e-284	3.0865890031434423e-53	4.988567238014309e-273	1.6863715651358115e-97	1.975363918906541e-64
OGG1_boot.10	1.0	4.45e-322	7.16e-322	4.45e-322	5.83e-322	1.0365000036091153e-155
OGG1_boot.11	1.0	1.047e-321	1.403e-321	1.057e-321	6.59250274866716e-155	1.3254969878140475e-81
OGG1_boot.12	1.0	5e-322	1.06e-321	5e-322	1.0254808260566818e-306	3.004800457561743e-150
OGG1_boot.13	1.0	5e-322	1.067e-321	5.04e-322	1.99766708284283e-310	4.775230906632206e-157
OGG1_boot.14	0.9999999999999999	9.9e-322	1.793189428024291e-237	1e-321	9.636109851059574e-124	2.1441115698988506e-80
OGG1_boot.15	0.999999999991791	2.8837889160016337e-209	8.208984665256856e-12	3.6312654384077804e-219	2.8884153660742743e-50	3.744608274231936e-52
OGG1_boot.16	1.0	2.7e-322	4.9e-322	3.66e-322	4.64e-322	7.09457125453153e-189
OGG1_boot.17	1.0	1.013e-321	1.7630522582019735e-79	9.14e-322	5.375343353033193e-107	9.18362670512461e-76
OGG1_boot.18	1.0	4.358686854042753e-306	3.0477547452655433e-230	2.4563224678480302e-222	1.1101690752972027e-79	4.6221981462376414e-57
OGG1_boot.19	0.9999999999999999	4.906089051894409e-257	1.2825124255029282e-158	1.4360094384077126e-201	3.0930374168018234e-72	3.6136171774661483e-45
OGG1_boot.20	1.0	7.36e-322	1.966e-321	8.45e-322	1.784107699166531e-199	5.905044130294333e-93
OGG1_boot.21	1.0	3.8e-322	5.04e-322	3.8e-322	5.5e-322	2.32024489994636e-179
OGG1_boot.22	0.9748825582551475	1.8358051133501176e-233	0.02511744174485261	1.0016319743257328e-219	1.967557258908736e-57	3.3776505666515958e-46
OGG1_boot.23	1.0	6e-322	1.344e-321	6.03e-322	8.914589437597498e-224	1.9784801148174384e-119
OGG1_boot.24	0.990699589149336	1.05e-321	0.009300410850664135	1.3086764752198525e-285	4.885429469998066e-139	5.409385978541825e-58
OGG1_boot.25	1.0	9.73e-322	7.597106261921168e-97	9.8e-322	3.2676214910006083e-102	2.5206950559237064e-80
OGG1_boot.26	1.0	9.63e-322	7.26375581780571e-168	9.73e-322	1.3854329197998623e-72	3.4221335000602645e-75
OGG1_boot.27	1.0	5.4e-322	9.6e-322	5.43e-322	4.432496600738401e-257	8.458441473953882e-135
OGG1_boot.28	1.0	6.37e-322	1.136e-321	6.4e-322	3.194382011058663e-252	4.132173303377401e-102
OGG1_boot.29	1.0	5e-322	1.344e-321	5.04e-322	7.879618564914865e-274	2.2247052436750756e-144
OGG1_boot.30	1.0	3.56e-322	7.16e-322	3.6e-322	5.83e-322	7.247238000029157e-200
OGG1_boot.31	0.9999999999999999	4.74e-322	7.56e-322	5.7e-322	2.50329646383e-312	3.95180994803596e-137
OGG1_boot.32	1.0	7.36e-322	1.96e-321	8.45e-322	3.1604302512679754e-172	1.686657219438853e-105
OGG1_boot.33	1.0	5.83e-322	1.31e-321	5.9e-322	8.089587374828085e-240	4.685587183935946e-127
OGG1_boot.34	1.0	7.4e-322	1.7e-321	7.46e-322	9.1681188879852e-147	3.236176170128251e-102
OGG1_boot.35	1.0	7.4e-322	1.423e-321	8.55e-322	1.0360782028248713e-248	2.6746088682565457e-98
