NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.667	66.675	0.109	49.839	0.508	0.779	15000.0
2	0.665	66.481	0.109	49.72	0.54	0.78	20000.0
3	0.668	66.78	0.109	49.902	0.516	0.779	15000.0
4	0.66	65.983	0.108	49.507	0.552	0.782	20000.0
5	0.665	66.509	0.109	49.742	0.518	0.78	20000.0
6	0.667	66.711	0.109	49.851	0.549	0.78	55000.0
7	0.667	66.731	0.109	49.867	0.505	0.779	15000.0
8	0.668	66.801	0.109	49.904	0.515	0.779	15000.0
9	0.66	65.981	0.108	49.503	0.511	0.782	15000.0
10	0.66	65.983	0.108	49.512	0.503	0.782	15000.0
