NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	132.009	74.002	24.087	48.604	0.637	0.794	80000.0
2	131.048	74.068	23.421	49.008	0.64	0.79	80000.0
3	132.358	73.955	24.263	48.629	0.634	0.794	60000.0
4	131.108	73.939	23.28	48.635	0.637	0.794	50000.0
5	140.442	75.6	27.835	50.018	0.638	0.783	80000.0
6	134.501	73.683	24.877	48.615	0.625	0.796	30000.0
7	132.805	74.295	24.351	49.016	0.641	0.79	50000.0
8	132.056	74.173	24.026	48.727	0.64	0.792	60000.0
9	131.704	74.13	23.936	48.686	0.637	0.794	40000.0
10	132.837	74.207	24.352	48.9	0.638	0.791	50000.0
