NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.351	35.06	0.053	25.68	0.203	0.935	35000.0
2	0.351	35.135	0.053	25.675	0.186	0.935	30000.0
3	0.359	35.871	0.054	26.954	0.19	0.925	20000.0
4	0.357	35.692	0.054	26.744	0.183	0.926	40000.0
5	0.354	35.362	0.054	26.335	0.226	0.932	30000.0
6	0.347	34.741	0.052	25.483	0.186	0.936	25000.0
7	0.347	34.713	0.052	25.501	0.179	0.936	25000.0
8	0.348	34.765	0.053	25.48	0.179	0.937	15000.0
9	0.35	35.003	0.053	25.776	0.18	0.935	25000.0
10	0.35	34.962	0.052	25.592	0.193	0.936	40000.0
