NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.058	24.83	0.036	98.034	0.111	0.772	30000.0
2	0.063	34.939	0.04	98.394	0.155	0.758	20000.0
3	0.055	34.119	0.034	97.83	0.138	0.786	30000.0
4	0.056	15.059	0.035	3.509	0.079	0.778	20000.0
5	0.05	4.951	0.033	3.321	0.039	0.798	30000.0
6	0.06	15.459	0.038	3.824	0.081	0.763	40000.0
7	0.064	44.518	0.039	98.246	0.17	0.756	30000.0
8	0.062	15.724	0.039	3.888	0.085	0.749	20000.0
9	0.056	24.656	0.036	97.964	0.107	0.775	40000.0
10	0.058	34.438	0.037	98.114	0.136	0.775	20000.0
