NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.403	40.325	0.063	30.703	0.277	0.907	15000.0
2	0.404	40.351	0.063	30.507	0.284	0.908	95000.0
3	0.447	44.667	0.07	34.041	2.347	0.884	15000.0
4	0.404	40.36	0.063	30.515	0.253	0.908	15000.0
5	0.399	39.947	0.063	30.333	0.263	0.909	15000.0
6	0.404	40.359	0.063	30.512	0.264	0.908	15000.0
7	0.404	40.368	0.063	30.526	0.248	0.908	15000.0
8	0.399	39.939	0.063	30.326	0.262	0.909	15000.0
9	0.404	40.363	0.063	30.521	0.254	0.908	15000.0
10	0.403	40.35	0.063	30.505	0.279	0.908	65000.0
