Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
BRCA_TCGA-3C-AAAU	0	17	7	0	8	6	8
BRCA_TCGA-3C-AALI	42	33	0	22	0	11	700
BRCA_TCGA-3C-AALJ	2	12	0	11	3	23	15
BRCA_TCGA-3C-AALK	3	13	0	19	3	11	15
BRCA_TCGA-4H-AAAK	6	10	0	7	4	5	1
BRCA_TCGA-5L-AAT0	17	10	26	0	6	10	210
BRCA_TCGA-5L-AAT1	105	26	28	8	0	0	1819
BRCA_TCGA-5T-A9QA	0	17	0	19	0	13	4
BRCA_TCGA-A1-A0SB	1	4	0	4	4	2	1
BRCA_TCGA-A1-A0SD	0	13	0	8	0	15	4
BRCA_TCGA-A1-A0SE	4	3	6	1	5	7	10
BRCA_TCGA-A1-A0SF	1	5	13	0	0	1	44
BRCA_TCGA-A1-A0SG	6	10	0	3	2	9	5
BRCA_TCGA-A1-A0SH	0	3	23	0	3	17	92
BRCA_TCGA-A1-A0SI	6	6	0	7	3	0	256
BRCA_TCGA-A1-A0SJ	0	13	5	0	1	11	10
BRCA_TCGA-A1-A0SK	3	20	0	10	0	43	8
BRCA_TCGA-A1-A0SM	8	10	0	3	5	5	1
BRCA_TCGA-A1-A0SN	8	15	0	2	4	16	31
BRCA_TCGA-A1-A0SO	28	0	76	42	0	163	44
BRCA_TCGA-A1-A0SP	0	12	18	14	1	19	6
BRCA_TCGA-A2-A04N	6	9	3	12	0	13	10
BRCA_TCGA-A2-A04R	10	3	35	0	0	41	13
BRCA_TCGA-A2-A04U	4	15	0	5	1	36	6
BRCA_TCGA-A2-A04W	13	17	0	7	10	8	132
BRCA_TCGA-A2-A0CK	0	12	3	2	0	5	5
BRCA_TCGA-A2-A0CL	0	24	0	5	0	7	164
BRCA_TCGA-A2-A0CR	0	4	0	0	8	0	198
BRCA_TCGA-A2-A0CS	0	19	3	5	2	17	2
BRCA_TCGA-A2-A0CV	3	11	5	0	2	1	2
BRCA_TCGA-A2-A0CW	6	14	0	3	0	24	37
BRCA_TCGA-A2-A0D3	0	20	0	3	0	7	2
BRCA_TCGA-A2-A0EN	2	10	0	6	4	14	3
BRCA_TCGA-A2-A0EP	0	0	2	1	2	5	6
BRCA_TCGA-A2-A0ES	1	3	3	3	2	6	1
BRCA_TCGA-A2-A0EW	1	5	0	7	1	4	2
BRCA_TCGA-A2-A0ST	0	7	0	2	3	10	6
BRCA_TCGA-A2-A0SU	0	6	15	0	2	9	3
BRCA_TCGA-A2-A0SX	2	7	10	0	4	9	9
BRCA_TCGA-A2-A0SY	7	13	0	9	0	9	139
BRCA_TCGA-A2-A0T0	11	7	21	34	27	82	35
BRCA_TCGA-A2-A0T1	3	8	0	0	10	10	1
BRCA_TCGA-A2-A0T3	5	12	0	10	0	13	4
BRCA_TCGA-A2-A0T4	0	10	0	9	2	7	13
BRCA_TCGA-A2-A0T5	0	6	0	0	0	5	2
BRCA_TCGA-A2-A0T6	0	15	0	2	0	6	5
BRCA_TCGA-A2-A0T7	1	9	0	0	2	13	4
BRCA_TCGA-A2-A0YC	0	8	0	6	0	10	8
BRCA_TCGA-A2-A0YD	13	12	0	3	0	4	55
BRCA_TCGA-A2-A0YE	2	14	4	0	0	11	12
BRCA_TCGA-A2-A0YF	6	6	9	0	1	14	3
BRCA_TCGA-A2-A0YG	3	15	0	21	2	21	16
BRCA_TCGA-A2-A0YH	4	13	0	9	0	17	57
BRCA_TCGA-A2-A0YI	1	2	5	0	1	6	3
BRCA_TCGA-A2-A0YJ	5	23	0	21	0	41	8
BRCA_TCGA-A2-A0YK	4	4	0	0	1	0	469
BRCA_TCGA-A2-A0YL	0	2	2	3	2	5	29
BRCA_TCGA-A2-A0YM	3	29	0	3	8	17	49
BRCA_TCGA-A2-A0YT	13	25	2	0	6	6	29
BRCA_TCGA-A2-A1FV	0	14	3	0	7	14	12
BRCA_TCGA-A2-A1FW	9	22	0	14	5	34	11
BRCA_TCGA-A2-A1FX	6	7	4	0	0	9	2
BRCA_TCGA-A2-A1FZ	0	8	0	7	4	8	2
BRCA_TCGA-A2-A1G0	2	2	0	3	0	11	5
BRCA_TCGA-A2-A1G1	1	5	0	13	0	14	6
BRCA_TCGA-A2-A1G6	0	2	3	0	2	2	1
BRCA_TCGA-A2-A259	2	4	1	2	2	10	8
BRCA_TCGA-A2-A25A	0	6	15	4	0	11	93
BRCA_TCGA-A2-A25B	12	8	33	17	0	41	17
BRCA_TCGA-A2-A25C	4	0	12	0	11	8	4
