NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.384	38.393	0.059	28.629	0.222	0.921	15000.0
2	0.384	38.393	0.059	28.63	0.224	0.921	15000.0
3	0.384	38.392	0.059	28.63	0.222	0.921	15000.0
4	0.384	38.392	0.059	28.63	0.222	0.921	15000.0
5	0.384	38.392	0.059	28.631	0.222	0.921	15000.0
6	0.384	38.392	0.059	28.63	0.233	0.921	25000.0
7	0.384	38.392	0.059	28.63	0.227	0.921	25000.0
8	0.384	38.391	0.059	28.63	0.223	0.921	15000.0
9	0.384	38.393	0.059	28.629	0.225	0.921	20000.0
10	0.384	38.393	0.059	28.629	0.227	0.921	25000.0
