NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.342	34.245	0.052	26.073	0.168	0.939	15000.0
2	0.383	38.28	0.062	31.075	1.627	0.903	15000.0
3	0.345	34.462	0.053	26.495	131.241	0.938	20000.0
4	0.424	42.423	0.069	36.013	0.189	0.892	15000.0
5	0.454	45.434	0.077	38.749	0.289	0.846	15000.0
6	0.353	35.334	0.054	27.36	11.88	0.928	15000.0
7	0.381	38.132	0.058	30.32	1.36	0.925	15000.0
8	0.339	33.93	0.052	25.663	0.697	0.937	15000.0
9	0.369	36.921	0.058	29.488	117.695	0.926	15000.0
10	0.407	40.728	0.067	36.189	23.437	0.902	15000.0
