NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.64	63.974	0.104	47.717	0.517	0.797	40000.0
2	0.64	63.974	0.104	47.717	0.508	0.797	20000.0
3	0.649	64.913	0.105	48.336	0.559	0.79	15000.0
4	0.64	63.974	0.104	47.717	0.501	0.797	15000.0
5	0.64	63.974	0.104	47.717	0.519	0.797	50000.0
6	0.649	64.912	0.105	48.337	0.564	0.79	15000.0
7	0.64	63.974	0.104	47.717	0.5	0.797	15000.0
8	0.649	64.914	0.105	48.335	0.558	0.79	15000.0
9	0.64	63.974	0.104	47.717	0.51	0.797	25000.0
10	0.649	64.912	0.105	48.336	0.562	0.79	15000.0
