NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.66	65.966	0.108	49.507	0.503	0.782	15000.0
2	0.668	66.764	0.109	49.892	0.55	0.779	30000.0
3	0.66	65.967	0.108	49.509	0.551	0.782	70000.0
4	0.669	66.867	0.109	49.95	0.561	0.779	25000.0
5	0.667	66.722	0.109	49.863	0.505	0.78	20000.0
6	0.667	66.746	0.109	49.878	0.505	0.779	20000.0
7	0.668	66.765	0.109	49.888	0.538	0.779	25000.0
8	0.667	66.696	0.109	49.837	0.514	0.78	20000.0
9	0.667	66.71	0.109	49.857	0.508	0.779	20000.0
10	0.667	66.736	0.109	49.858	0.556	0.779	35000.0
