NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.064	44.582	0.04	98.356	0.166	0.754	20000.0
2	0.068	16.29	0.042	4.159	0.092	0.72	20000.0
3	0.055	24.599	0.034	97.789	0.114	0.776	40000.0
4	0.058	24.821	0.037	98.114	0.112	0.78	20000.0
5	0.054	43.578	0.032	97.62	0.193	0.791	20000.0
6	0.065	25.509	0.04	98.409	0.117	0.739	20000.0
7	0.064	25.402	0.039	98.305	0.12	0.742	20000.0
8	0.068	44.911	0.041	98.543	0.182	0.743	20000.0
9	0.062	25.237	0.039	98.298	0.115	0.758	20000.0
10	0.054	14.926	0.034	3.394	0.078	0.781	20000.0
