NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	158.626	80.313	31.597	53.274	0.708	0.751	70000.0
2	163.112	80.271	33.397	53.245	0.69	0.754	40000.0
3	158.081	79.946	31.508	53.113	0.701	0.753	80000.0
4	158.133	80.2	31.497	53.117	0.704	0.753	40000.0
5	162.844	79.98	33.12	52.94	0.69	0.757	30000.0
6	162.889	79.745	33.264	52.87	0.684	0.759	40000.0
7	159.029	80.733	31.912	53.837	0.713	0.745	40000.0
8	162.354	80.201	33.229	53.686	0.704	0.749	40000.0
9	162.483	79.946	33.312	53.101	0.686	0.756	40000.0
10	159.464	80.324	32.07	53.464	0.706	0.75	50000.0
