NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	106.518	63.905	18.28	43.095	0.541	0.839	60000.0
2	108.984	65.235	19.067	44.502	0.534	0.828	70000.0
3	112.458	66.67	19.981	45.429	0.535	0.823	110000.0
4	105.46	63.972	18.218	43.603	0.537	0.835	140000.0
5	104.341	62.476	17.911	42.249	0.537	0.844	70000.0
6	110.423	65.085	19.309	43.754	0.535	0.836	100000.0
7	106.254	64.113	18.56	43.885	0.535	0.832	60000.0
8	108.301	65.308	18.887	44.537	0.545	0.827	90000.0
9	99.961	60.679	17.084	41.447	0.532	0.85	60000.0
10	106.635	64.497	18.155	43.385	0.544	0.836	80000.0
