split,bootstrap,accuracy,f1_score,recall,C
0,multinomial,0.77575,0.7696395745531994,0.7757499999999999,0.01
1,multinomial,0.741,0.7360634194535494,0.741,0.01
2,multinomial,0.7285,0.7232425827061928,0.7284999999999999,0.01
3,multinomial,0.6975,0.691485308434205,0.6975,0.01
4,multinomial,0.7535,0.7487341467034532,0.7535000000000001,0.01
5,multinomial,0.8485,0.8413207913990557,0.8485,0.01
6,multinomial,0.799,0.790707407223106,0.799,0.01
7,multinomial,0.6745,0.6663344808198206,0.6745,0.01
8,multinomial,0.77825,0.7755225542372683,0.7782500000000001,0.01
9,multinomial,0.63125,0.6112367788462248,0.63125,0.01
10,multinomial,0.79975,0.793627570966899,0.7997500000000001,0.01
