Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
EXO1_0_real_train1	4.53E-02	1.83E-26	1.64E-26	1.14E-02	1.64E-26	1.27E-01
OGG1_0_real_train1	1.42E-01	1.12E-02	1.16E-01	1.54E-01	3.03E-02	1.48E-01
RNF168_0_real_train1	4.06E-02	1.37E-01	1.69E-01	2.00E-02	4.54E-02	4.45E-03
UNG_0_real_train1	2.55E-02	1.41E-01	9.91E-02	1.32E-01	3.79E-02	1.18E-01
ATP2B4_0_real_train1	9.03E-02	7.67E-02	7.58E-02	7.23E-02	1.05E-01	5.21E-02
ATP2B4_1_real_train1	1.16E-01	7.26E-02	7.26E-02	6.74E-02	1.16E-01	5.57E-02
MLH1_0_real_train1	1.62E-01	8.37E-02	1.17E-01	1.08E-02	1.27E-01	1.23E-01
MSH2_0_real_train1	3.12E-03	1.25E-26	1.25E-26	1.25E-26	1.23E-01	1.25E-26
MSH6_0_real_train1	1.18E-01	1.04E-01	1.03E-01	7.83E-03	1.59E-01	1.26E-01
MSH6_1_real_train1	1.23E-01	1.07E-01	1.03E-01	5.74E-03	1.61E-01	1.27E-01
PMS1_0_real_train1	8.69E-02	1.21E-01	1.24E-01	1.27E-01	1.49E-01	7.62E-02
PMS2_0_real_train1	1.20E-01	1.08E-01	4.87E-03	1.15E-01	9.02E-03	3.22E-03
EXO1_0_multinomial_train1	4.46E-02	1.83E-26	1.64E-26	1.23E-02	1.64E-26	1.26E-01
EXO1_0_multinomial_train1.1	4.56E-02	1.83E-26	1.64E-26	9.92E-03	1.64E-26	1.26E-01
EXO1_0_multinomial_train1.2	4.70E-02	1.83E-26	1.64E-26	1.05E-02	1.64E-26	1.27E-01
EXO1_0_multinomial_train1.3	4.67E-02	1.83E-26	1.64E-26	1.31E-02	1.64E-26	1.31E-01
EXO1_0_multinomial_train1.4	4.26E-02	1.83E-26	1.64E-26	1.02E-02	1.64E-26	1.26E-01
EXO1_0_multinomial_train1.5	4.45E-02	1.83E-26	1.64E-26	1.01E-02	1.64E-26	1.29E-01
EXO1_0_multinomial_train1.6	4.33E-02	1.83E-26	1.64E-26	1.26E-02	1.64E-26	1.25E-01
EXO1_0_multinomial_train1.7	4.17E-02	1.83E-26	1.64E-26	9.94E-03	1.64E-26	1.25E-01
EXO1_0_multinomial_train1.8	4.96E-02	1.83E-26	1.64E-26	1.10E-02	1.64E-26	1.28E-01
EXO1_0_multinomial_train1.9	4.50E-02	1.83E-26	1.64E-26	9.97E-03	1.64E-26	1.29E-01
EXO1_0_multinomial_train1.10	4.85E-02	1.83E-26	1.64E-26	1.25E-02	1.64E-26	1.29E-01
EXO1_0_multinomial_train1.11	4.29E-02	1.83E-26	1.64E-26	1.24E-02	1.64E-26	1.27E-01
EXO1_0_multinomial_train1.12	4.34E-02	1.83E-26	1.64E-26	1.30E-02	1.64E-26	1.26E-01
EXO1_0_multinomial_train1.13	4.66E-02	1.83E-26	1.64E-26	1.01E-02	1.64E-26	1.25E-01
EXO1_0_multinomial_train1.14	4.48E-02	1.83E-26	1.64E-26	1.03E-02	1.64E-26	1.26E-01
EXO1_0_multinomial_train1.15	4.64E-02	1.83E-26	1.64E-26	9.96E-03	1.64E-26	1.26E-01
EXO1_0_multinomial_train1.16	4.57E-02	1.83E-26	1.64E-26	1.08E-02	1.64E-26	1.27E-01
EXO1_0_multinomial_train1.17	4.79E-02	1.83E-26	1.64E-26	9.60E-03	1.64E-26	1.27E-01
