NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.386	38.639	0.059	28.652	0.225	0.919	15000.0
2	0.386	38.639	0.059	28.651	0.225	0.919	15000.0
3	0.386	38.639	0.059	28.652	0.225	0.919	15000.0
4	0.386	38.636	0.059	28.651	0.221	0.919	15000.0
5	0.386	38.641	0.059	28.65	0.226	0.919	15000.0
6	0.386	38.641	0.059	28.65	0.226	0.919	15000.0
7	0.386	38.637	0.059	28.651	0.223	0.919	15000.0
8	0.386	38.64	0.059	28.652	0.225	0.919	15000.0
9	0.386	38.64	0.059	28.651	0.225	0.919	15000.0
10	0.386	38.639	0.059	28.652	0.225	0.919	15000.0
