gene_KO	SBS96A_HR	SBS96B_MMR	SBS96C_Control	SBS96D_BER_UNG	SBS96E_BER_OGG1
ATP2B4	0.060081006983709065	0.039267358211902706	0.6933766646256994	0.09740278109693451	0.10987218908175427
EXO1	0.8888237605146437	0.0333385752547217	0.013376479531714247	0.046089182522731705	0.01837200217618842
RNF168	0.8874109812739546	0.03242055901265028	0.024183631183296334	0.037122244060157066	0.018862584469941695
UNG	0.020380218974379083	0.08455716157408175	0.005487087318082963	0.874536407679676	0.015039124453780148
OGG1	0.025055608387687365	0.020766775097055885	0.09783517741597743	0.04386535960784926	0.81247707949143
MLH1	0.02455928737636514	0.9694774886120187	2.937150346450555e-41	0.004395264848312308	0.0015679591633038868
MSH2	1.3597825529181768e-144	0.9604717007718849	0.00059262918386115	0.03634307884972781	0.002592591194526046
MSH6	0.0002846294246489554	0.9817708462479269	0.004099189460964521	0.002280083901483394	0.011565250964976204
PMS1	0.0023030179982697933	0.1546637910341475	0.36862647360845957	0.44664325914580727	0.027763458213315717
PMS2	0.4907188896469333	0.5090208925590417	8.1e-322	3.4e-322	0.000260217794025039
