Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-3C-AAAU	0.00E+00	9.94E-01	4.73E-01	1.03E+00	1.19E+00	4.58E-01	4.27E-01	0.00E+00	9.00E-01	7.52E-01	0.00E+00	7.31E-01	1.52E+00	1.19E+00	1.16E+00	0.00E+00	7.02E-01	1.01E+00
BRCA_TCGA-3C-AALI	1.14E+00	9.34E-01	5.16E+00	5.68E+00	2.70E+00	3.01E+00	1.63E+00	1.02E+00	1.26E+00	1.12E+00	1.91E+00	1.35E+00	2.19E+00	2.56E+01	2.46E+01	4.01E-01	5.28E+00	4.99E+00
BRCA_TCGA-3C-AALJ	2.00E-01	8.72E-01	3.89E-01	1.32E+00	8.62E-01	6.33E-01	0.00E+00	5.21E-01	7.52E-01	5.93E-01	0.00E+00	6.29E-01	1.69E+00	1.20E+00	4.47E-01	0.00E+00	2.57E+00	1.20E+00
BRCA_TCGA-3C-AALK	4.90E-01	3.94E-01	2.69E-01	1.72E+00	1.80E+00	1.16E+00	4.58E-01	6.00E-01	9.71E-01	7.16E-01	0.00E+00	2.69E-01	1.13E+00	1.07E+00	1.18E+00	0.00E+00	1.29E+00	6.57E-01
BRCA_TCGA-4H-AAAK	0.00E+00	9.45E-01	1.16E+00	1.29E+00	9.89E-01	9.45E-01	1.33E-01	2.00E-01	5.42E-01	3.00E-01	0.00E+00	8.69E-01	4.33E-01	0.00E+00	3.40E-01	1.00E-01	1.19E+00	5.73E-01
BRCA_TCGA-5L-AAT0	2.24E-01	1.28E+00	2.47E+00	1.12E+00	8.03E-01	2.96E+00	0.00E+00	0.00E+00	1.11E+00	5.26E-01	0.00E+00	2.13E-01	4.06E+00	1.38E+01	1.55E+01	5.78E-01	1.86E+00	8.67E-01
BRCA_TCGA-5L-AAT1	3.59E+00	1.33E+00	1.15E+01	1.02E+01	3.73E+00	1.22E+01	1.61E+00	6.16E-01	3.60E+00	3.06E-01	0.00E+00	0.00E+00	3.23E+00	9.19E+01	9.76E+01	0.00E+00	8.33E-01	4.27E-01
BRCA_TCGA-5T-A9QA	0.00E+00	8.92E-01	0.00E+00	2.30E+00	1.75E+00	1.15E+00	4.47E-01	4.00E-01	9.04E-01	4.48E-01	0.00E+00	0.00E+00	1.54E+00	2.00E-01	1.37E+00	2.67E-01	1.25E+00	1.33E+00
BRCA_TCGA-A1-A0SB	0.00E+00	4.52E-01	6.96E-01	4.00E-01	8.06E-01	3.07E-01	0.00E+00	2.60E-01	3.40E-01	5.12E-01	0.00E+00	7.37E-01	3.00E-01	1.00E-01	4.58E-01	0.00E+00	3.40E-01	4.00E-01
BRCA_TCGA-A1-A0SD	0.00E+00	3.59E-01	4.27E-01	7.16E-01	1.25E+00	0.00E+00	0.00E+00	7.95E-01	6.16E-01	4.99E-01	0.00E+00	9.43E-01	1.27E+00	4.99E-01	9.75E-01	0.00E+00	9.57E-01	1.20E+00
