NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.4	39.952	0.063	30.331	0.266	0.909	15000.0
2	0.404	40.364	0.063	30.517	0.263	0.908	15000.0
3	0.447	44.653	0.069	33.991	2.347	0.884	15000.0
4	0.403	40.349	0.063	30.509	0.267	0.908	15000.0
5	0.399	39.939	0.063	30.33	0.272	0.909	15000.0
6	0.404	40.35	0.063	30.507	0.284	0.908	105000.0
7	0.404	40.358	0.063	30.514	0.265	0.908	15000.0
8	0.446	44.621	0.07	34.029	1.549	0.884	15000.0
9	0.4	39.952	0.063	30.335	0.241	0.909	15000.0
10	0.399	39.939	0.063	30.327	0.258	0.909	15000.0
