NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.373	37.264	0.059	28.773	0.254	0.916	15000.0
2	0.375	37.524	0.059	28.886	0.287	0.915	85000.0
3	0.373	37.253	0.059	28.766	0.242	0.916	15000.0
4	0.377	37.672	0.059	28.975	0.248	0.915	15000.0
5	0.377	37.676	0.059	28.983	0.244	0.915	15000.0
6	0.373	37.255	0.059	28.764	0.25	0.916	15000.0
7	0.377	37.663	0.059	28.979	0.242	0.915	25000.0
8	0.377	37.666	0.059	28.973	0.246	0.915	15000.0
9	0.373	37.252	0.059	28.764	0.247	0.916	15000.0
10	0.377	37.672	0.059	28.979	0.246	0.915	15000.0
