NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	146.351	77.297	29.127	50.977	0.664	0.773	50000.0
2	141.817	76.876	26.348	50.962	0.678	0.773	80000.0
3	146.138	77.107	29.151	50.944	0.658	0.774	40000.0
4	145.992	77.113	29.013	50.795	0.66	0.775	40000.0
5	146.32	77.137	29.125	50.928	0.662	0.775	80000.0
6	142.601	75.927	26.137	49.646	0.658	0.786	60000.0
7	143.183	76.661	26.32	50.252	0.668	0.779	60000.0
8	145.938	77.351	29.068	50.93	0.667	0.773	50000.0
9	141.93	76.705	26.381	51.071	0.679	0.772	50000.0
10	146.964	77.324	29.322	51.119	0.665	0.772	70000.0
