Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
BRCA_TCGA-3C-AAAU	0	13	14	0	0	6	9	4
BRCA_TCGA-3C-AALI	42	37	0	19	0	2	700	8
BRCA_TCGA-3C-AALJ	1	11	2	5	19	6	16	6
BRCA_TCGA-3C-AALK	1	13	0	7	21	7	15	0
BRCA_TCGA-4H-AAAK	6	11	0	9	0	4	1	2
BRCA_TCGA-5L-AAT0	17	3	27	0	18	1	210	3
BRCA_TCGA-5L-AAT1	103	23	18	0	52	2	1788	0
BRCA_TCGA-5T-A9QA	0	15	0	5	25	6	2	0
BRCA_TCGA-A1-A0SB	1	5	0	2	2	4	1	1
BRCA_TCGA-A1-A0SD	0	13	0	0	18	4	4	1
BRCA_TCGA-A1-A0SE	4	1	7	0	9	5	9	1
BRCA_TCGA-A1-A0SF	2	1	15	0	0	0	42	4
BRCA_TCGA-A1-A0SG	6	11	0	0	6	5	5	2
BRCA_TCGA-A1-A0SH	0	0	15	0	26	3	91	3
BRCA_TCGA-A1-A0SI	6	7	0	3	5	5	252	0
BRCA_TCGA-A1-A0SJ	0	10	10	0	0	0	11	9
BRCA_TCGA-A1-A0SK	1	20	0	0	39	4	8	12
BRCA_TCGA-A1-A0SM	7	8	2	0	7	7	1	0
BRCA_TCGA-A1-A0SN	8	14	5	1	2	4	34	8
BRCA_TCGA-A1-A0SO	17	0	16	0	215	17	41	47
BRCA_TCGA-A1-A0SP	0	8	15	11	24	1	6	5
BRCA_TCGA-A2-A04N	4	8	0	1	27	1	9	3
BRCA_TCGA-A2-A04R	8	0	14	0	54	2	12	12
BRCA_TCGA-A2-A04U	2	16	0	0	21	6	6	16
BRCA_TCGA-A2-A04W	13	14	8	7	0	7	133	5
BRCA_TCGA-A2-A0CK	0	10	0	0	10	2	5	0
BRCA_TCGA-A2-A0CL	0	25	0	3	0	2	164	6
BRCA_TCGA-A2-A0CR	0	5	0	0	3	9	193	0
BRCA_TCGA-A2-A0CS	0	17	7	4	8	2	2	8
BRCA_TCGA-A2-A0CV	3	8	10	0	0	0	2	1
BRCA_TCGA-A2-A0CW	4	13	0	0	23	2	37	5
BRCA_TCGA-A2-A0D3	0	18	0	0	10	1	2	1
BRCA_TCGA-A2-A0EN	1	9	0	0	19	7	3	0
BRCA_TCGA-A2-A0EP	0	0	0	1	5	3	5	2
BRCA_TCGA-A2-A0ES	0	2	2	1	9	3	1	1
BRCA_TCGA-A2-A0EW	0	6	0	5	3	3	2	1
BRCA_TCGA-A2-A0ST	0	7	0	0	8	5	6	2
BRCA_TCGA-A2-A0SU	0	2	15	0	10	1	3	4
BRCA_TCGA-A2-A0SX	2	3	16	0	0	2	10	8
BRCA_TCGA-A2-A0SY	6	13	0	2	12	4	139	1
BRCA_TCGA-A2-A0T0	7	2	13	16	73	36	35	35
BRCA_TCGA-A2-A0T1	3	9	0	0	3	10	1	6
BRCA_TCGA-A2-A0T3	4	11	0	3	19	3	3	1
BRCA_TCGA-A2-A0T4	0	9	4	9	0	1	14	4
BRCA_TCGA-A2-A0T5	0	8	0	0	0	0	2	3
BRCA_TCGA-A2-A0T6	0	15	1	0	6	1	4	1
BRCA_TCGA-A2-A0T7	1	9	0	0	6	3	4	6
BRCA_TCGA-A2-A0YC	0	8	0	1	11	3	8	1
BRCA_TCGA-A2-A0YD	13	13	0	3	0	0	57	1
BRCA_TCGA-A2-A0YE	2	12	6	0	8	0	12	3
BRCA_TCGA-A2-A0YF	6	4	6	0	15	2	3	3
BRCA_TCGA-A2-A0YG	0	13	0	2	38	9	14	2
BRCA_TCGA-A2-A0YH	3	12	0	0	20	3	58	4
BRCA_TCGA-A2-A0YI	0	1	2	0	9	2	3	1
BRCA_TCGA-A2-A0YJ	4	24	0	11	24	6	8	21
BRCA_TCGA-A2-A0YK	5	5	0	0	0	3	465	0
BRCA_TCGA-A2-A0YL	0	2	1	0	8	3	29	0
BRCA_TCGA-A2-A0YM	3	29	1	0	9	12	50	5
BRCA_TCGA-A2-A0YT	13	19	15	0	0	1	30	3
BRCA_TCGA-A2-A1FV	0	13	1	0	14	8	12	2
BRCA_TCGA-A2-A1FW	7	21	0	2	31	11	11	12
BRCA_TCGA-A2-A1FX	6	6	5	0	6	0	2	3
BRCA_TCGA-A2-A1FZ	0	7	0	3	7	7	2	3
