Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
BRCA_TCGA-3C-AAAU	0.00E+00	1.24E+00	1.51E+00	3.06E-01	2.00E+00	1.37E+00	1.15E+00	2.55E+00
BRCA_TCGA-3C-AALI	4.25E+00	2.70E+00	1.74E+00	2.03E+00	1.11E+01	1.45E+00	6.40E+00	7.92E+00
BRCA_TCGA-3C-AALJ	5.12E-01	8.79E-01	1.01E+00	1.58E+00	5.62E+00	9.20E-01	1.38E+00	4.75E+00
BRCA_TCGA-3C-AALK	5.73E-01	9.43E-01	2.13E-01	1.61E+00	3.66E+00	9.09E-01	1.10E+00	3.01E+00
BRCA_TCGA-4H-AAAK	5.96E-01	1.69E+00	6.51E-01	1.44E+00	1.66E+00	6.15E-01	0.00E+00	1.43E+00
BRCA_TCGA-5L-AAT0	2.00E-01	2.40E+00	2.94E+00	1.00E-01	3.10E+00	7.46E-01	3.14E+00	2.46E+00
BRCA_TCGA-5L-AAT1	4.77E+00	4.41E+00	4.15E+00	2.93E+00	4.60E+00	3.00E-01	5.60E+00	0.00E+00
BRCA_TCGA-5T-A9QA	0.00E+00	2.01E+00	1.86E+00	1.98E+00	3.56E+00	6.67E-01	1.19E+00	2.14E+00
BRCA_TCGA-A1-A0SB	1.33E-01	7.31E-01	5.17E-01	9.94E-01	6.57E-01	6.46E-01	5.12E-01	7.27E-01
BRCA_TCGA-A1-A0SD	4.00E-01	1.02E+00	0.00E+00	6.46E-01	3.40E+00	1.09E+00	6.33E-01	2.44E+00
BRCA_TCGA-A1-A0SE	1.27E+00	5.81E-01	1.03E+00	8.19E-01	1.32E+00	1.20E+00	1.36E+00	1.59E+00
BRCA_TCGA-A1-A0SF	8.33E-01	1.60E+00	8.57E-01	4.73E-01	6.53E-01	1.00E-01	2.20E+00	6.54E-01
BRCA_TCGA-A1-A0SG	9.60E-01	9.33E-01	6.90E-01	1.00E-01	2.73E+00	1.16E+00	4.67E-01	2.24E+00
BRCA_TCGA-A1-A0SH	6.53E-01	1.27E+00	1.06E+00	1.35E+00	3.86E+00	1.00E+00	1.33E+00	3.27E+00
BRCA_TCGA-A1-A0SI	1.36E+00	8.95E-01	9.00E-01	1.75E+00	2.01E+00	8.70E-01	1.75E+00	1.19E+00
BRCA_TCGA-A1-A0SJ	0.00E+00	1.22E+00	7.52E-01	7.31E-01	2.44E+00	0.00E+00	1.43E+00	1.75E+00
BRCA_TCGA-A1-A0SK	5.78E-01	2.17E+00	1.00E-01	1.33E+00	8.90E+00	8.17E-01	8.97E-01	8.27E+00
BRCA_TCGA-A1-A0SM	8.88E-01	8.56E-01	2.13E-01	4.82E-01	2.26E+00	7.37E-01	0.00E+00	2.35E+00
BRCA_TCGA-A1-A0SN	1.46E+00	1.53E+00	1.51E+00	6.00E-01	3.66E+00	1.53E+00	1.52E+00	3.54E+00
BRCA_TCGA-A1-A0SO	2.21E+00	8.14E-01	6.72E+00	3.96E+00	2.65E+01	1.29E+00	2.82E+00	3.23E+01
BRCA_TCGA-A1-A0SP	0.00E+00	2.33E+00	3.05E+00	2.39E+00	4.48E+00	5.82E-01	1.08E+00	4.57E+00
BRCA_TCGA-A2-A04N	7.75E-01	9.71E-01	3.21E+00	8.44E-01	1.16E+00	1.53E-01	1.09E+00	2.26E+00
BRCA_TCGA-A2-A04R	7.52E-01	9.07E-01	3.57E+00	1.06E+00	6.08E+00	2.33E-01	1.62E+00	7.73E+00
BRCA_TCGA-A2-A04U	3.40E-01	1.12E+00	0.00E+00	6.80E-01	6.54E+00	7.15E-01	1.31E+00	5.84E+00
BRCA_TCGA-A2-A04W	1.37E+00	7.61E-01	1.82E+00	1.77E+00	2.46E+00	1.50E+00	2.92E+00	1.26E+00
BRCA_TCGA-A2-A0CK	0.00E+00	1.11E+00	8.09E-01	0.00E+00	7.27E-01	5.73E-01	6.96E-01	1.31E+00
BRCA_TCGA-A2-A0CL	4.00E-01	1.24E+00	1.23E+00	1.04E+00	1.82E+00	9.07E-01	1.55E+00	1.05E+00
