NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.336	33.569	0.049	24.103	0.179	0.943	15000.0
2	0.336	33.57	0.05	24.112	0.183	0.944	15000.0
3	0.335	33.496	0.049	24.036	0.191	0.944	35000.0
4	0.335	33.52	0.049	24.033	0.181	0.944	20000.0
5	0.337	33.653	0.049	24.137	0.194	0.943	15000.0
6	0.335	33.543	0.049	24.026	0.183	0.944	15000.0
7	0.335	33.49	0.049	24.103	0.184	0.943	20000.0
8	0.336	33.568	0.049	24.044	0.181	0.944	15000.0
9	0.336	33.564	0.049	24.021	0.182	0.944	15000.0
10	0.334	33.437	0.049	24.039	0.18	0.944	15000.0
