NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.391	39.125	0.06	29.051	0.223	0.917	15000.0
2	0.391	39.121	0.06	29.054	0.223	0.917	15000.0
3	0.391	39.124	0.06	29.052	0.222	0.917	15000.0
4	0.391	39.123	0.06	29.053	0.223	0.917	15000.0
5	0.391	39.121	0.06	29.054	0.223	0.917	15000.0
6	0.391	39.124	0.06	29.051	0.223	0.917	15000.0
7	0.391	39.123	0.06	29.054	0.223	0.917	15000.0
8	0.391	39.121	0.06	29.063	0.221	0.917	15000.0
9	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
10	0.391	39.123	0.06	29.052	0.223	0.917	15000.0
11	0.391	39.125	0.06	29.052	0.223	0.917	15000.0
12	0.391	39.123	0.06	29.055	0.223	0.917	15000.0
13	0.391	39.122	0.06	29.055	0.223	0.917	15000.0
14	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
15	0.391	39.124	0.06	29.053	0.222	0.917	15000.0
16	0.391	39.124	0.06	29.052	0.223	0.917	15000.0
17	0.391	39.121	0.06	29.054	0.223	0.917	15000.0
18	0.391	39.122	0.06	29.054	0.223	0.917	15000.0
19	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
20	0.391	39.122	0.06	29.054	0.222	0.917	15000.0
21	0.391	39.121	0.06	29.054	0.222	0.917	15000.0
22	0.391	39.122	0.06	29.054	0.223	0.917	15000.0
23	0.391	39.124	0.06	29.052	0.223	0.917	15000.0
24	0.391	39.123	0.06	29.053	0.223	0.917	15000.0
25	0.391	39.124	0.06	29.052	0.223	0.917	15000.0
26	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
27	0.391	39.124	0.06	29.052	0.223	0.917	15000.0
28	0.391	39.114	0.06	29.057	0.22	0.917	15000.0
29	0.391	39.123	0.06	29.054	0.223	0.917	15000.0
30	0.391	39.123	0.06	29.053	0.223	0.917	15000.0
31	0.391	39.125	0.06	29.052	0.224	0.917	15000.0
32	0.391	39.126	0.06	29.052	0.224	0.917	15000.0
33	0.391	39.124	0.06	29.053	0.224	0.917	15000.0
34	0.391	39.121	0.06	29.054	0.222	0.917	15000.0
35	0.391	39.123	0.06	29.052	0.223	0.917	15000.0
36	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
37	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
38	0.391	39.123	0.06	29.052	0.223	0.917	15000.0
39	0.391	39.124	0.06	29.053	0.224	0.917	15000.0
40	0.391	39.121	0.06	29.054	0.222	0.917	15000.0
41	0.391	39.124	0.06	29.051	0.223	0.917	15000.0
42	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
43	0.391	39.124	0.06	29.052	0.223	0.917	15000.0
44	0.391	39.123	0.06	29.052	0.224	0.917	15000.0
45	0.391	39.124	0.06	29.053	0.222	0.917	15000.0
46	0.391	39.124	0.06	29.052	0.223	0.917	15000.0
47	0.391	39.121	0.06	29.054	0.223	0.917	15000.0
48	0.391	39.123	0.06	29.053	0.223	0.917	15000.0
49	0.391	39.124	0.06	29.053	0.224	0.917	15000.0
50	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
