NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	121.143	69.929	21.256	46.52	0.612	0.81	100000.0
2	123.653	71.369	21.931	47.442	0.611	0.804	50000.0
3	121.518	69.967	21.307	46.538	0.609	0.81	60000.0
4	127.144	71.839	23.099	47.449	0.604	0.806	50000.0
5	122.135	71.614	21.051	47.455	0.616	0.804	50000.0
6	120.958	69.329	20.942	45.694	0.609	0.818	60000.0
7	126.079	72.404	22.352	48.198	0.616	0.797	50000.0
8	122.852	72.021	21.345	47.663	0.62	0.801	60000.0
9	125.109	71.165	22.783	47.278	0.609	0.806	60000.0
10	124.115	71.616	21.428	47.295	0.615	0.804	50000.0
