Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-3C-AAAU	0	7	0	9	2	4	4	0	14	6	0
BRCA_TCGA-3C-AALI	14	30	20	0	73	0	0	4	65	602	0
BRCA_TCGA-3C-AALJ	1	4	2	4	3	11	1	0	31	9	0
BRCA_TCGA-3C-AALK	3	10	7	0	1	14	5	0	13	11	0
BRCA_TCGA-4H-AAAK	0	6	7	3	6	0	1	0	10	0	0
BRCA_TCGA-5L-AAT0	0	0	0	13	36	42	0	0	10	177	1
BRCA_TCGA-5L-AAT1	59	0	0	16	178	121	0	5	10	1597	0
BRCA_TCGA-5T-A9QA	0	13	3	0	0	24	4	1	7	1	0
BRCA_TCGA-A1-A0SB	0	4	3	0	1	1	4	0	3	0	0
BRCA_TCGA-A1-A0SD	0	9	0	0	1	10	3	0	15	2	0
BRCA_TCGA-A1-A0SE	0	0	0	4	4	8	3	0	11	6	0
BRCA_TCGA-A1-A0SF	1	0	0	9	5	10	0	0	0	37	2
BRCA_TCGA-A1-A0SG	0	6	0	1	7	5	2	0	12	2	0
BRCA_TCGA-A1-A0SH	8	0	0	8	0	20	2	0	23	77	0
BRCA_TCGA-A1-A0SI	7	8	5	0	16	0	4	3	7	228	0
BRCA_TCGA-A1-A0SJ	0	8	0	7	0	2	0	0	10	10	3
BRCA_TCGA-A1-A0SK	2	14	0	0	2	10	1	0	51	4	0
BRCA_TCGA-A1-A0SM	1	5	0	2	5	1	5	3	10	0	0
BRCA_TCGA-A1-A0SN	2	7	0	6	8	5	1	0	22	23	2
BRCA_TCGA-A1-A0SO	13	0	6	7	8	49	5	38	192	29	6
BRCA_TCGA-A1-A0SP	0	0	4	12	0	28	0	0	23	3	0
BRCA_TCGA-A2-A04N	0	5	0	0	7	14	0	9	11	5	2
BRCA_TCGA-A2-A04R	3	4	0	4	4	7	2	19	46	10	3
BRCA_TCGA-A2-A04U	0	13	1	0	4	2	4	2	33	4	4
BRCA_TCGA-A2-A04W	2	5	4	10	21	10	4	0	18	111	2
BRCA_TCGA-A2-A0CK	0	9	0	1	0	5	1	3	4	4	0
BRCA_TCGA-A2-A0CL	0	24	6	0	13	0	2	0	4	148	3
BRCA_TCGA-A2-A0CR	0	3	0	0	10	12	7	0	0	177	1
BRCA_TCGA-A2-A0CS	0	11	4	5	1	2	0	0	23	1	1
BRCA_TCGA-A2-A0CV	0	4	0	7	4	0	0	1	7	1	0
BRCA_TCGA-A2-A0CW	3	11	0	0	5	7	2	2	24	30	0
BRCA_TCGA-A2-A0D3	0	15	0	2	1	6	0	1	6	1	0
BRCA_TCGA-A2-A0EN	0	6	0	0	3	11	5	0	14	0	0
BRCA_TCGA-A2-A0EP	0	0	0	0	0	3	3	2	2	5	1
BRCA_TCGA-A2-A0ES	0	0	0	2	1	9	1	0	6	0	0
BRCA_TCGA-A2-A0EW	0	4	5	0	1	3	2	0	4	1	0
BRCA_TCGA-A2-A0ST	0	5	1	1	1	1	3	0	11	5	0
BRCA_TCGA-A2-A0SU	0	0	0	9	0	8	0	1	14	3	0
BRCA_TCGA-A2-A0SX	4	2	0	9	0	2	2	0	10	9	3
BRCA_TCGA-A2-A0SY	1	7	0	0	18	22	2	0	5	122	0
BRCA_TCGA-A2-A0T0	7	6	22	6	4	9	22	9	99	26	7
BRCA_TCGA-A2-A0T1	0	5	0	2	3	4	8	0	7	0	3
BRCA_TCGA-A2-A0T3	4	8	4	1	1	6	0	0	18	2	0
BRCA_TCGA-A2-A0T4	0	6	6	4	0	0	0	0	15	10	0
BRCA_TCGA-A2-A0T5	0	5	0	1	1	0	0	0	4	1	1
BRCA_TCGA-A2-A0T6	0	12	0	2	1	4	0	0	6	3	0
BRCA_TCGA-A2-A0T7	0	7	0	0	3	4	3	0	6	3	3
BRCA_TCGA-A2-A0YC	0	7	2	0	0	1	2	1	13	6	0
BRCA_TCGA-A2-A0YD	3	8	1	1	15	7	0	0	5	47	0
BRCA_TCGA-A2-A0YE	2	8	0	4	2	4	0	0	14	9	0
BRCA_TCGA-A2-A0YF	5	3	0	3	1	5	1	1	18	2	0
BRCA_TCGA-A2-A0YG	0	6	1	2	5	27	5	3	21	8	0
BRCA_TCGA-A2-A0YH	4	8	2	2	5	10	0	0	22	47	0
BRCA_TCGA-A2-A0YI	0	1	0	1	1	1	1	2	9	2	0
BRCA_TCGA-A2-A0YJ	4	20	13	0	2	11	3	0	31	6	8
BRCA_TCGA-A2-A0YK	13	9	1	0	24	0	3	0	0	428	0
BRCA_TCGA-A2-A0YL	0	0	0	2	1	12	1	0	1	26	0
BRCA_TCGA-A2-A0YM	0	22	2	4	7	0	7	0	27	40	0
BRCA_TCGA-A2-A0YT	2	10	0	12	13	0	0	0	25	19	0
BRCA_TCGA-A2-A1FV	0	8	0	3	1	11	5	0	13	9	0
BRCA_TCGA-A2-A1FW	5	13	1	4	5	23	5	0	28	7	4
BRCA_TCGA-A2-A1FX	3	3	0	3	2	4	0	0	12	1	0
BRCA_TCGA-A2-A1FZ	0	6	3	0	0	5	5	0	7	2	1
BRCA_TCGA-A2-A1G0	0	0	0	0	2	7	0	0	12	2	0
BRCA_TCGA-A2-A1G1	1	3	4	0	1	10	0	0	17	3	0
BRCA_TCGA-A2-A1G6	0	1	0	2	0	0	1	1	4	1	0
BRCA_TCGA-A2-A259	0	0	0	2	3	10	1	0	9	4	0
BRCA_TCGA-A2-A25A	4	5	0	2	2	14	1	6	14	81	0
BRCA_TCGA-A2-A25B	3	0	4	10	8	22	1	13	57	10	0
BRCA_TCGA-A2-A25C	3	0	0	0	0	6	10	6	11	3	0
BRCA_TCGA-A2-A25D	0	2	4	4	2	14	2	0	22	9	5
BRCA_TCGA-A2-A25E	2	2	8	3	2	6	6	0	23	8	1
BRCA_TCGA-A2-A25F	0	0	0	0	0	1	0	0	5	0	0
BRCA_TCGA-A2-A3KD	0	4	0	0	0	7	4	0	1	2	0
BRCA_TCGA-A2-A3XT	4	7	12	0	0	0	7	0	57	30	5
BRCA_TCGA-A2-A3XU	0	10	5	0	0	5	3	0	7	1	0
BRCA_TCGA-A2-A3XV	0	0	0	10	4	11	6	0	15	0	2
BRCA_TCGA-A2-A3XW	0	3	1	0	2	0	3	0	6	2	0
BRCA_TCGA-A2-A3XX	0	6	0	7	5	5	1	1	23	4	0
BRCA_TCGA-A2-A3XZ	0	8	4	0	6	4	0	0	7	23	0
BRCA_TCGA-A2-A3Y0	4	14	16	9	1	4	24	2	111	52	6
BRCA_TCGA-A2-A4S1	9	13	3	5	0	2	8	1	47	8	2
BRCA_TCGA-A2-A4S2	0	4	2	3	0	5	4	0	17	7	1
BRCA_TCGA-A2-A4S3	7	12	5	5	2	15	11	0	33	17	0
BRCA_TCGA-A7-A0CE	1	0	0	6	2	12	5	5	21	8	1
BRCA_TCGA-A7-A0CH	0	0	1	0	2	7	0	0	7	0	0
BRCA_TCGA-A7-A0D9	0	0	0	2	0	5	0	0	0	4	1
BRCA_TCGA-A7-A0DA	3	6	8	5	5	9	2	1	118	20	10
BRCA_TCGA-A7-A0DB	2	10	1	0	1	0	4	0	10	21	4
BRCA_TCGA-A7-A13D	0	9	4	4	3	20	6	2	71	20	1
BRCA_TCGA-A7-A13E	0	33	11	2	0	4	1	1	21	7	0
BRCA_TCGA-A7-A13F	2	10	5	2	6	7	3	0	6	4	0
BRCA_TCGA-A7-A13G	1	3	2	5	0	3	0	0	6	11	1
BRCA_TCGA-A7-A26E	0	12	1	0	10	8	3	1	10	20	2
BRCA_TCGA-A7-A26F	3	7	0	0	4	14	0	1	14	3	0
BRCA_TCGA-A7-A26G	3	4	9	3	1	0	0	1	29	18	0
BRCA_TCGA-A7-A26H	5	22	0	0	4	14	4	0	19	82	0
BRCA_TCGA-A7-A26I	2	2	1	1	2	9	3	0	17	8	1
BRCA_TCGA-A7-A26J	4	4	0	0	0	8	0	0	22	4	0
BRCA_TCGA-A7-A2KD	1	9	0	5	3	12	2	0	12	9	2
BRCA_TCGA-A7-A3RF	0	5	1	0	0	6	6	1	19	2	0
BRCA_TCGA-A7-A425	0	9	0	1	0	5	3	2	11	1	1
BRCA_TCGA-A7-A4SC	2	5	0	4	3	3	0	0	17	2	2
BRCA_TCGA-A7-A4SD	0	20	6	0	2	8	4	1	14	2	5
BRCA_TCGA-A7-A4SE	4	1	14	3	0	13	9	0	56	44	2
BRCA_TCGA-A7-A56D	11	11	0	15	16	33	0	1	28	110	0
BRCA_TCGA-A7-A5ZV	2	30	20	1	5	5	15	3	130	39	18
BRCA_TCGA-A7-A5ZW	2	6	3	0	2	0	6	0	4	13	0
BRCA_TCGA-A7-A5ZX	1	1	0	3	5	6	3	0	14	5	4
BRCA_TCGA-A7-A6VV	0	11	8	0	0	17	0	0	19	9	0
BRCA_TCGA-A7-A6VW	0	5	2	0	3	17	11	3	40	8	3
BRCA_TCGA-A7-A6VX	0	0	1	7	4	28	9	7	69	42	10
BRCA_TCGA-A7-A6VY	4	1	10	7	6	19	9	0	58	21	1
BRCA_TCGA-A8-A075	3	1	0	5	3	23	0	0	33	29	3
BRCA_TCGA-AC-A23C	8	2	3	10	6	17	12	0	27	58	2
BRCA_TCGA-AC-A23E	2	7	0	0	2	4	0	0	9	0	0
BRCA_TCGA-AC-A23H	137	43	98	27	258	0	0	0	112	5703	0
BRCA_TCGA-AC-A2B8	1	5	2	0	7	13	1	0	10	89	0
BRCA_TCGA-AC-A2BK	0	15	2	14	4	6	9	3	52	4	1
BRCA_TCGA-AC-A2BM	0	3	3	3	1	3	0	0	6	2	5
BRCA_TCGA-AC-A2FB	0	1	0	1	0	6	3	0	2	4	0
BRCA_TCGA-AC-A2FF	0	0	0	0	0	4	0	1	1	5	0
BRCA_TCGA-AC-A2FG	0	6	2	0	3	6	3	0	9	10	0
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	2	1	0
BRCA_TCGA-AC-A2FO	2	0	0	0	3	7	0	0	4	11	0
BRCA_TCGA-AC-A2QH	1	7	2	4	0	2	0	3	4	4	0
BRCA_TCGA-AC-A3HN	0	3	0	4	1	0	2	0	7	3	2
BRCA_TCGA-AC-A3OD	3	1	0	6	5	12	0	3	2	7	0
BRCA_TCGA-AC-A3QP	0	2	3	0	3	0	3	0	24	0	0
BRCA_TCGA-AC-A3QQ	2	4	0	6	0	13	0	0	7	2	2
BRCA_TCGA-AC-A3W5	1	3	7	16	8	21	0	0	79	68	8
BRCA_TCGA-AC-A3YI	0	1	0	2	3	0	2	0	10	0	0
BRCA_TCGA-AC-A3YJ	2	6	0	3	1	12	4	0	5	5	0
BRCA_TCGA-AC-A4ZE	0	9	9	6	3	4	4	0	30	9	0
BRCA_TCGA-AC-A5EH	9	9	22	3	5	20	8	1	92	28	8
BRCA_TCGA-AC-A5EI	0	7	0	0	3	8	5	0	8	12	0
BRCA_TCGA-AC-A5XS	16	0	0	4	67	47	0	0	24	557	0
BRCA_TCGA-AC-A5XU	1	26	0	12	3	17	2	4	28	20	0
