NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.404	40.352	0.063	30.508	0.278	0.908	55000.0
2	0.399	39.943	0.063	30.336	0.265	0.909	15000.0
3	0.447	44.695	0.069	34.011	2.332	0.884	15000.0
4	0.404	40.4	0.063	30.539	0.252	0.908	15000.0
5	0.404	40.362	0.063	30.514	0.26	0.908	15000.0
6	0.399	39.931	0.063	30.32	0.279	0.909	65000.0
7	0.399	39.939	0.063	30.33	0.264	0.909	15000.0
8	0.404	40.364	0.063	30.518	0.261	0.908	15000.0
9	0.399	39.941	0.063	30.328	0.261	0.909	15000.0
10	0.404	40.359	0.063	30.512	0.257	0.908	15000.0
