NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.644	64.354	0.103	47.979	0.56	0.792	15000.0
2	0.643	64.291	0.103	48.033	0.667	0.791	15000.0
3	0.644	64.354	0.103	47.979	0.588	0.792	30000.0
4	0.644	64.353	0.103	47.979	0.573	0.792	15000.0
5	0.644	64.354	0.103	47.979	0.576	0.792	25000.0
6	0.644	64.356	0.103	47.977	0.562	0.792	15000.0
7	0.644	64.354	0.103	47.979	0.587	0.792	30000.0
8	0.644	64.354	0.103	47.979	0.585	0.792	25000.0
9	0.644	64.353	0.103	47.979	0.57	0.792	15000.0
10	0.644	64.353	0.103	47.979	0.626	0.792	55000.0
