Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
EXO1_0_real_train1	8.846251265909881e-40	0.07426890722131017	1.0161520496116191e-69	0.9257310927786899	5.226951999673803e-184	2.4571201455179645e-23	1.5055982387427554e-265	3.959340814156444e-202	3.907642810247086e-84	1.32e-321
OGG1_0_real_train1	1.9e-322	2.2e-322	5.73e-322	8.35e-322	4.15e-322	7.672049553027408e-203	0.04498918194337744	0.5418508999243279	5.93e-322	0.4131599181322945
RNF168_0_real_train1	1.15e-321	1.2e-321	2.594e-321	0.44062096248186033	3.722326774404216e-146	8.855472969229492e-150	0.020004982229851424	0.07634671933563067	0.46302733595265755	1.215e-321
UNG_0_real_train1	1.354e-321	9.4e-322	0.05572459086755771	0.03996290082864685	0.7706699555329892	1.408206322184819e-270	0.13364255277080603	1.73764663714835e-87	4.936549057282624e-123	7.167587960369703e-81
ATP2B4_0_real_train1	2.075e-321	1.79e-321	0.047262746736675694	0.11731345295853222	0.11643795301619522	7.440112734071044e-91	0.5726530379655181	0.14633280932307874	2.6755595167336714e-29	6.65317809813616e-27
ATP2B4_1_real_train1	1.6270421506878918e-11	0.05065535141771624	0.03891497612882885	4.0457790235039816e-192	9.097124462620734e-191	0.0638598987804568	0.7480952127503498	1.1239046340219716e-135	4.952032916257585e-105	0.09847456090637785
MLH1_0_real_train1	1.0275057550429047e-29	0.8956167153237957	0.04574452184996035	9.033996382833336e-05	0.02100775199401967	0.020539626409162296	1.464540683193579e-68	5.71842309308305e-109	4.375815951996911e-21	0.017001044459233627
MSH2_0_real_train1	0.8702055748739533	0.04338143971563726	1.478154286830738e-210	1.3523379576446984e-129	0.04178610321192023	0.03989306574699683	3.246146923673435e-84	0.004733816451492354	1.1753685514482202e-77	3.1712838369044884e-228
MSH6_0_real_train1	0.8010709414778415	0.0985774733013987	0.06715955187055701	4.295356574661615e-87	1.3392762411670414e-79	0.010191729184253859	1.8575733162532957e-05	0.014079554751826812	3.145725753487918e-85	0.008902173680959547
MSH6_1_real_train1	0.9047945013796941	8.197491063632212e-10	0.06753298325127575	1.7929870831143627e-218	6.063643586284821e-262	1.36e-321	5.533141657848894e-228	2.506382645445527e-168	3.311837625555425e-133	0.02767251454928099
PMS1_0_real_train1	2.4744290330650285e-77	1.528972885736205e-47	0.04674159582706405	1.3794010503318503e-10	0.0281850859989223	0.8432763150153677	2.4782865773726837e-130	4.663909979285131e-249	6.846662111425917e-109	0.08179700302070597
PMS2_0_real_train1	2.4795287576346612e-208	2.087035118729598e-271	0.9245847020826183	0.0037725075530516267	1.002324419614488e-50	2.7892977003111973e-66	0.07164278781528327	2.1302194400030415e-54	2.720578629080267e-128	2.5490468696025884e-09
