Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
EXO1_0_real_train1	1.65E-39	2.76E-02	3.22E-02	1.03E-01	8.32E-04	1.50E-02	0.00E+00	2.37E-04	1.03E-01	0.00E+00
OGG1_0_real_train1	6.85E-03	4.98E-03	2.89E-03	2.36E-23	1.84E-28	5.08E-03	2.18E-23	1.32E-01	3.00E-03	1.26E-01
RNF168_0_real_train1	0.00E+00	2.15E-02	2.66E-11	1.14E-01	6.39E-03	5.62E-127	4.30E-03	1.15E-02	1.12E-01	3.51E-03
UNG_0_real_train1	0.00E+00	0.00E+00	1.34E-02	5.94E-02	4.89E-02	2.02E-02	1.57E-02	6.94E-03	1.22E-03	3.54E-03
ATP2B4_0_real_train1	1.38E-04	3.06E-03	7.77E-03	1.69E-02	9.83E-03	3.29E-160	8.72E-03	1.98E-02	1.41E-02	9.93E-03
ATP2B4_1_real_train1	9.48E-03	1.21E-02	4.57E-03	4.56E-149	1.17E-146	9.32E-03	1.66E-02	8.06E-03	2.47E-34	2.63E-02
MLH1_0_real_train1	1.47E-79	7.96E-02	4.46E-02	7.45E-06	5.62E-02	1.07E-03	2.53E-03	5.86E-04	0.00E+00	3.97E-03
MSH2_0_real_train1	1.59E-01	9.20E-02	4.47E-02	1.00E-26	1.00E-26	1.00E-26	2.29E-02	1.35E-01	5.08E-02	4.65E-04
MSH6_0_real_train1	1.60E-01	9.53E-02	9.77E-02	8.70E-41	6.61E-04	5.41E-03	7.87E-06	1.27E-03	1.14E-01	2.28E-03
MSH6_1_real_train1	1.62E-01	9.69E-02	9.93E-02	1.01E-146	1.49E-03	0.00E+00	3.96E-39	2.39E-04	1.15E-01	4.12E-03
PMS1_0_real_train1	0.00E+00	1.02E-02	5.37E-03	6.22E-03	3.81E-02	2.49E-02	1.95E-74	2.44E-135	2.43E-87	1.88E-02
PMS2_0_real_train1	1.68E-03	4.92E-04	9.09E-02	1.57E-02	3.86E-03	5.70E-03	1.56E-02	1.56E-03	1.09E-02	2.07E-03
EXO1_0_multinomial_train1	4.22E-62	2.72E-02	3.29E-02	1.03E-01	0.00E+00	1.37E-02	0.00E+00	1.49E-45	1.02E-01	7.82E-04
EXO1_0_multinomial_train1.1	5.21E-04	2.84E-02	3.21E-02	1.03E-01	2.50E-03	1.38E-02	0.00E+00	1.89E-03	1.01E-01	0.00E+00
EXO1_0_multinomial_train1.2	4.78E-52	2.76E-02	3.37E-02	1.02E-01	1.44E-120	1.48E-02	0.00E+00	4.03E-34	1.02E-01	0.00E+00
EXO1_0_multinomial_train1.3	1.72E-30	2.79E-02	3.12E-02	1.07E-01	4.15E-03	1.21E-02	0.00E+00	3.51E-03	1.05E-01	0.00E+00
EXO1_0_multinomial_train1.4	0.00E+00	2.58E-02	3.00E-02	1.03E-01	0.00E+00	1.26E-02	0.00E+00	1.40E-04	1.02E-01	0.00E+00
